Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2000-01-02,57,24,464,3,30,3,0,Sun,16,17,@,GNB,L 24-49,35,57,22,61.4,384,2,3,3.5,5.3,72,3,12,5,6.7,6.4,5.07,4.82,11,24,80,3.3,1,464,84,5.52,64,7.42,4,32:00:00,3:23,3,20,3,20,6,40,30,7,22,1,15,8,53.3,2,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,ARI,1999-12-26,26,24,289,8,17,2,0,Sun,15,16,@,ATL,L 14-37,15,26,11,57.7,212,0,2,0,7.7,52.9,1,5,3.7,8.2,7.85,4.69,4.52,14.1,24,77,3.2,2,289,51,5.67,62,6.34,2,24:53:00,2:50,8,57,4,24,12,81,17,7,7,3,10,5,50,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,1999-12-19,30,21,178,5,14,3,0,Sun,14,15,,BUF,L 21-31,11,30,19,36.7,108,1,1,3.3,3.3,46.4,2,11,6.25,3.6,3.38,2.77,2.59,9.8,21,70,3.3,2,178,53,3.36,75,5.01,1,20:30,3:22,5,20,4,58,9,78,14,5,7,2,11,4,36.4,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,ARI,1999-12-12,32,14,173,5,10,0,0,Sun,13,14,@,WAS,L 3-28,15,32,17,46.9,120,0,3,0,9.4,21.2,5,27,13.51,3.8,3.24,-0.47,-0.41,8,14,53,3.8,0,173,51,3.39,79,5.14,4,21:14,3:07,5,42,12,97,17,139,10,1,7,2,13,4,30.8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,1999-12-05,38,19,227,1,16,3,0,Sun,12,13,,PHI,W 21-17,20,38,18,52.6,173,1,1,2.6,2.6,63.4,1,6,2.56,4.6,4.44,3.89,3.79,8.7,19,54,2.8,1,227,58,3.91,69,4.26,2,22:04,3:05,1,5,9,64,10,69,16,4,9,3,14,8,57.1,1,0,0,3,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,ARI,1999-11-28,35,34,291,2,23,4,0,Sun,11,12,@,NYG,W 34-24,23,35,12,65.7,222,2,0,5.7,0,105.8,4,29,10.26,6.3,5.69,7.49,6.72,9.7,34,69,2,1,291,73,3.99,67,4.99,1,35:17:00,3:14,2,22,6,50,8,72,23,8,13,2,12,4,33.3,1,0,0,4,4,4,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0
7,ARI,1999-11-21,29,30,207,5,13,1,0,Sun,10,11,,DAL,W 13-9,13,29,16,44.8,105,1,2,3.4,6.9,38.7,2,10,6.45,3.6,3.39,1.21,1.13,8.1,30,102,3.4,0,207,61,3.39,65,3.97,2,26:57:00,3:09,5,40,6,47,11,87,13,7,6,0,15,5,33.3,2,1,50,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,1999-11-14,30,32,343,6,17,2,0,Sun,9,10,,DET,W 23-19,16,30,14,53.3,184,0,0,0,0,75.6,3,25,9.09,6.1,5.58,6.13,5.58,11.5,32,159,5,2,343,65,5.28,58,6.43,1,32:44:00,3:11,6,46,10,101,16,147,17,7,9,1,13,3,23.1,1,1,100,2,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1
9,ARI,1999-11-07,26,18,206,4,10,1,0,Sun,8,9,@,NYJ,L 7-12,16,26,10,61.5,151,0,0,0,0,85.3,6,48,18.75,5.8,4.72,5.81,4.72,9.4,18,55,3.1,1,206,50,4.12,67,4.4,1,23:48,2:47,4,25,3,25,7,50,10,4,6,0,12,2,16.7,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,1999-10-31,39,19,166,5,8,0,0,Sun,7,8,,NWE,L 3-27,13,39,26,33.3,90,0,2,0,5.1,21,3,21,7.14,2.3,2.14,0,0,6.9,19,76,4,0,166,61,2.72,70,5.51,2,23:56,3:03,5,30,4,36,9,66,8,4,4,0,16,3,18.8,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,1999-10-17,43,20,274,4,15,1,0,Sun,6,6,,WAS,L 10-24,20,43,23,46.5,207,1,3,2.3,7,40.5,2,9,4.44,4.8,4.6,2.14,2.04,10.4,20,67,3.4,0,274,65,4.22,75,5.47,3,25:38:00,3:06,4,30,8,54,12,84,15,2,12,1,16,4,25,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,ARI,1999-10-10,27,27,206,3,13,2,0,Sun,5,5,,NYG,W 14-3,17,27,10,63,175,1,0,3.7,0,97.3,4,22,12.9,6.5,5.65,7.22,6.29,10.3,27,31,1.1,1,206,58,3.55,69,4.13,0,28:09:00,3:05,3,14,8,52,11,66,13,2,11,0,13,2,15.4,0,0,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ARI,1999-10-03,39,21,208,6,12,1,0,Sun,4,4,@,DAL,L 7-35,20,39,19,51.3,137,1,4,2.6,10.3,28.8,1,4,2.5,3.5,3.43,-0.59,-0.58,6.9,21,71,3.4,0,208,61,3.41,60,5.1,5,26:13:00,3:07,6,50,10,87,16,137,12,2,8,2,17,6,35.3,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,ARI,1999-09-27,31,29,250,3,20,1,0,Mon,3,3,,SFO,L 10-24,16,31,15,51.6,149,0,2,0,6.5,41.9,5,27,13.89,4.8,4.14,1.9,1.64,9.3,29,101,3.5,1,250,65,3.85,66,4.88,4,28:23:00,2:59,3,25,9,88,12,113,20,8,9,3,13,4,30.8,1,1,100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,1999-09-19,28,28,184,2,13,1,0,Sun,2,2,@,MIA,L 16-19,12,28,16,42.9,120,0,4,0,14.3,18.7,2,18,6.67,4.3,4,-2.14,-2,10,28,64,2.3,0,184,58,3.17,66,4.61,4,28:08:00,3:13,2,15,9,81,11,96,13,3,5,5,13,3,23.1,1,0,0,1,1,1,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0
16,ARI,1999-09-12,48,36,344,8,23,2,0,Sun,1,1,@,PHI,W 25-24,25,48,23,52.1,266,1,3,2.1,6.3,50.2,1,8,2.04,5.5,5.43,3.15,3.08,10.6,36,78,2.2,1,344,85,4.05,56,3.66,4,34:51:00,3:14,8,40,7,54,15,94,23,6,15,2,18,7,38.9,1,1,100,2,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
17,ATL,2000-01-03,37,21,343,6,24,4,0,Mon,16,17,,SFO,W 34-29,19,37,18,51.4,306,3,0,8.1,0,106.4,0,0,0,8.3,8.27,9.89,9.89,16.1,21,37,1.8,0,343,58,5.91,59,8.58,0,29:38:00,3:23,6,40,16,118,22,158,24,3,15,6,12,6,50,0,0,,4,4,4,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0
18,ATL,1999-12-26,23,39,393,4,22,4,0,Sun,15,16,,ARI,W 37-14,14,23,9,60.9,230,1,0,4.3,0,109,0,0,0,10,10,10.87,10.87,16.4,39,163,4.2,3,393,62,6.34,51,5.67,0,35:07:00,2:50,4,24,8,57,12,81,22,11,10,1,11,5,45.5,1,1,100,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ATL,1999-12-19,43,19,347,5,23,2,0,Sun,14,15,@,TEN,L 17-30,24,43,19,55.8,291,2,3,4.7,7,65.1,2,19,4.44,6.8,6.47,4.56,4.36,12.1,19,56,2.9,0,347,64,5.42,60,6.65,6,29:13:00,4:34,5,46,14,90,19,136,23,3,17,4,10,3,30,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ATL,1999-12-12,27,12,105,6,7,1,0,Sun,13,14,@,SFO,L 7-26,9,27,18,33.3,67,0,1,0,3.7,30.8,5,39,15.63,2.5,2.09,0.81,0.69,7.4,12,38,3.2,0,105,44,2.39,72,4.64,2,19:17,2:48,6,65,7,87,13,152,7,1,4,2,11,2,18.2,0,0,,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21,ATL,1999-12-05,25,28,361,11,21,5,0,Sun,12,13,,NOR,W 35-12,15,25,10,60,233,2,3,8,12,78,0,0,0,9.3,9.32,5.52,5.52,15.5,28,128,4.6,2,361,53,6.81,70,3.43,3,29:25:00,2:00,11,116,7,52,18,168,21,9,10,2,8,4,50,0,0,,5,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,ATL,1999-11-28,42,15,343,14,22,4,0,Sun,11,12,@,CAR,L 28-34,24,42,18,57.1,279,4,0,9.5,0,112.7,4,36,8.7,6.6,6.07,8.55,7.8,11.6,15,64,4.3,0,343,61,5.62,67,5.67,1,23:57,3:27,14,137,8,54,22,191,22,4,16,2,11,4,36.4,1,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
