Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1992-12-27,47,17,445,8,23,3,0,Sun,16,17,@,RAM,L 27-38,31,47,16,66,363,3,2,6.4,4.3,93.8,2,11,4.08,7.7,7.41,7.09,6.8,11.7,17,82,4.8,0,445,66,6.74,56,4.93,3,28:08:00,,8,62,3,25,11,87,23,,,,11,4,36.4,0,0,,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2,ATL,1992-12-21,46,11,373,3,18,2,0,Mon,15,16,,DAL,L 17-41,34,46,12,73.9,333,2,0,4.3,0,111.7,4,37,8,7.2,6.66,8.11,7.46,9.8,11,40,3.6,0,373,61,6.11,50,8.7,3,26:55:00,,3,24,7,50,10,74,18,,,,11,4,36.4,4,2,50,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1992-12-13,30,25,413,7,20,5,0,Sun,14,15,@,TAM,W 35-7,22,30,8,73.3,327,5,0,16.7,0,149.9,2,12,6.25,10.9,10.22,14.23,13.34,14.9,25,86,3.4,0,413,57,7.25,55,4.62,0,32:26:00,,7,40,5,30,12,70,20,,,,13,9,69.2,0,0,,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ATL,1992-12-03,21,13,168,1,10,2,0,Thu,13,14,@,NOR,L 14-22,11,21,10,52.4,92,1,2,4.8,9.5,47,5,34,19.23,4.4,3.54,1.05,0.85,8.4,13,76,5.8,0,168,39,4.31,69,5.62,3,19:03,,1,5,1,10,2,15,10,,,,7,2,28.6,0,0,,2,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5,ATL,1992-11-29,19,38,253,3,17,4,0,Sun,12,13,,NWE,W 34-0,10,19,9,52.6,112,2,0,10.5,0,107.6,1,9,5,5.9,5.6,8,7.6,11.2,38,141,3.7,2,253,58,4.36,43,2.44,0,34:54:00,,3,15,6,65,9,80,17,,,,15,8,53.3,0,0,,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1992-11-22,36,19,174,5,11,2,1,Sun,11,12,@,BUF,L 14-41,17,36,19,47.2,128,1,1,2.8,2.8,54.9,1,8,2.7,3.6,3.46,2.86,2.78,7.5,19,46,2.4,0,174,56,3.11,61,6.75,1,29:03:00,,5,30,6,54,11,84,11,,,,16,5,31.3,2,1,50,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,ATL,1992-11-15,27,27,337,5,19,2,0,Sun,10,11,,PHO,W 20-17,19,27,8,70.4,223,2,1,7.4,3.7,107,4,17,12.9,8.3,7.19,8.07,7.03,11.7,27,114,4.2,0,337,58,5.81,54,5.02,3,33:08:00,,5,30,5,30,10,60,19,,,,10,3,30,0,0,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
8,ATL,1992-11-09,41,14,304,6,20,0,0,Mon,9,10,,SFO,L 3-41,25,41,16,61,245,0,3,0,7.3,49.4,3,21,6.82,6,5.57,2.68,2.5,9.8,14,59,4.2,0,304,58,5.24,60,5.05,6,25:15:00,,6,40,1,10,7,50,20,,,,10,3,30,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,ATL,1992-11-01,33,28,350,6,19,3,0,Sun,8,9,,RAM,W 30-28,19,33,14,57.6,214,2,0,6.1,0,99.7,3,19,8.33,6.5,5.94,7.7,7.06,11.3,28,136,4.9,1,350,64,5.47,59,6.08,2,31:36:00,,6,57,6,35,12,92,19,,,,14,6,42.9,0,0,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1992-10-18,43,15,297,9,18,2,0,Sun,7,7,@,SFO,L 17-56,23,43,20,53.5,250,2,2,4.7,4.7,68.8,4,19,8.51,5.8,5.32,4.65,4.26,10.9,15,47,3.1,0,297,62,4.79,65,9.08,2,26:26:00,,9,86,12,100,21,186,18,,,,13,3,23.1,1,1,100,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
