Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1986-12-21,24,37,238,1,17,2,0,Sun,16,16,@,DET,W 20-6,17,24,7,70.8,119,1,1,4.2,4.2,84,3,33,11.11,5,4.41,3.92,3.48,7,37,119,3.2,1,238,64,3.72,56,3.45,1,38:10:00,,1,5,2,18,3,23,17,,,,,,,,,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2,ATL,1986-12-14,36,21,247,6,18,1,0,Sun,15,15,,NOR,L 9-14,24,36,12,66.7,185,1,2,2.8,5.6,71.3,6,53,14.29,5.1,4.4,3.19,2.74,7.7,21,62,3,0,247,63,3.92,62,3.89,3,29:15:00,,6,35,6,41,12,76,18,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1986-12-07,28,44,408,5,25,2,0,Sun,14,14,,IND,L 23-28,17,28,11,60.7,189,2,0,7.1,0,109.5,3,33,9.68,6.8,6.1,8.18,7.39,11.1,44,219,5,0,408,75,5.44,51,4.41,3,36:52:00,,5,33,6,35,11,68,25,,,,,,,,,,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ATL,1986-11-30,13,45,362,6,13,2,0,Sun,13,13,@,MIA,W 20-14,8,13,5,61.5,143,0,0,0,0,99.2,0,0,0,11,11,11,11,17.9,45,219,4.9,2,362,58,6.24,59,6.36,1,32:34:00,,6,43,9,76,15,119,13,,,,,,,,,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1986-11-23,38,18,229,4,12,0,0,Sun,12,12,@,SFO,L 0-20,22,38,16,57.9,154,0,1,0,2.6,65,8,80,17.39,4.1,3.35,2.87,2.37,7,18,75,4.2,0,229,64,3.58,74,4.93,1,27:34:00,,4,24,5,40,9,64,12,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,ATL,1986-11-16,24,28,159,6,11,1,0,Sun,11,11,,CHI,L 10-13,10,24,14,41.7,41,0,3,0,12.5,11.1,5,39,17.24,1.7,1.41,-3.92,-3.24,4.1,28,118,4.2,0,159,57,2.79,61,6.03,3,30:42:00,,6,43,6,50,12,93,11,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
7,ATL,1986-11-09,36,20,393,3,23,2,0,Sun,10,10,,NYJ,L 14-28,21,36,15,58.3,305,2,1,5.6,2.8,98.1,4,45,10,8.5,7.63,8.33,7.5,14.5,20,88,4.4,0,393,60,6.55,70,6.09,2,24:19:00,,3,10,9,65,12,75,23,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1986-11-02,27,39,366,10,21,2,0,Sun,9,9,@,NWE,L 17-25,16,27,11,59.3,148,0,0,0,0,76.9,4,17,12.9,5.5,4.77,5.48,4.77,9.3,39,218,5.6,2,366,70,5.23,55,6.35,1,36:13:00,,10,64,10,73,20,137,21,,,,,,,,,,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,ATL,1986-10-26,25,24,151,3,8,1,0,Sun,8,8,@,RAM,L 7-14,13,25,12,52,55,0,2,0,8,24.6,1,9,3.85,2.2,2.12,-1.4,-1.35,4.2,24,96,4,0,151,50,3.02,68,4.93,3,25:07:00,,3,25,7,45,10,70,8,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,ATL,1986-10-19,35,52,356,6,21,1,0,Sun,7,7,,SFO,T 10-10 (OT),16,35,19,45.7,139,1,3,2.9,8.6,34.9,5,37,12.5,4,3.48,0.69,0.6,8.7,52,217,4.2,0,356,92,3.87,63,4.03,5,47:36:00,,6,54,3,22,9,76,21,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
