Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1988-12-18,27,32,202,4,13,0,0,Sun,16,16,@,NOR,L 9-10,14,27,13,51.9,93,0,0,0,0,61.7,1,13,3.57,3.4,3.32,3.44,3.32,6.6,32,109,3.4,0,202,60,3.37,61,5.33,1,26:59:00,,4,35,11,92,15,127,13,,,,,,,,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1988-12-11,33,22,193,3,9,1,0,Sun,15,15,@,RAM,L 7-22,13,33,20,39.4,128,0,2,0,6.1,26.7,1,7,2.94,3.9,3.76,1.15,1.12,9.8,22,65,3,0,193,56,3.45,70,5.97,2,21:43,,3,20,2,9,5,29,9,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,ATL,1988-12-04,27,21,177,2,8,0,0,Sun,14,14,,SFO,L 3-13,13,27,14,48.1,134,0,1,0,3.7,50.8,3,22,10,5,4.47,3.3,2.97,10.3,21,43,2,0,177,51,3.47,73,5.18,1,23:11,,2,21,7,65,9,86,8,,,,,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ATL,1988-11-27,24,36,289,3,16,2,0,Sun,13,13,,TAM,W 17-10,14,24,10,58.3,108,1,1,4.2,4.2,68.2,1,13,4,4.5,4.32,3.46,3.32,7.7,36,181,5,1,289,61,4.74,56,5.59,2,32:11:00,,3,32,7,57,10,89,16,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1988-11-20,29,39,280,2,17,1,0,Sun,12,12,@,RAI,W 12-6,18,29,11,62.1,150,0,0,0,0,77.5,2,15,6.45,5.2,4.84,5.17,4.84,8.3,39,130,3.3,1,280,70,4,54,3.93,2,37:04:00,,2,25,3,20,5,45,17,,,,,,,,,,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1988-11-13,38,22,245,2,13,1,0,Sun,11,11,,SDG,L 7-10,18,38,20,47.4,188,1,1,2.6,2.6,61.4,1,13,2.56,4.9,4.82,4.29,4.18,10.4,22,57,2.6,0,245,61,4.02,68,5.22,2,25:36:00,,2,15,6,54,8,69,13,,,,,,,,,,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1988-11-06,25,38,341,2,18,2,0,Sun,10,10,,GNB,W 20-0,15,25,10,60,177,1,2,4,8,61.6,0,0,0,7.1,7.08,4.28,4.28,11.8,38,164,4.3,1,341,63,5.41,61,4.66,3,35:37:00,,2,15,6,52,8,67,18,,,,,,,,,,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1988-10-30,23,27,294,7,11,4,0,Sun,9,9,@,PHI,W 27-24,10,23,13,43.5,202,3,0,13,0,120.5,4,33,14.81,8.8,7.48,11.39,9.7,20.2,27,92,3.4,0,294,54,5.44,83,5.11,1,26:55:00,,7,57,3,30,10,87,11,,,,,,,,,,4,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,ATL,1988-10-23,39,36,368,8,23,1,0,Sun,8,8,,NYG,L 16-23,19,39,20,48.7,216,0,2,0,5.1,45.6,2,11,4.88,5.5,5.27,3.23,3.07,11.4,36,152,4.2,1,368,77,4.78,61,5.67,2,33:44:00,,8,40,3,22,11,62,23,,,,,,,,,,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0
10,ATL,1988-10-16,34,34,311,5,20,2,0,Sun,7,7,@,DEN,L 14-30,19,34,15,55.9,137,1,2,2.9,5.9,53.1,3,19,8.11,4,3.7,1.97,1.81,7.2,34,174,5.1,1,311,71,4.38,70,5.8,3,30:15:00,,5,33,1,5,6,38,20,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1988-10-09,28,20,150,5,12,0,0,Sun,6,6,,RAM,L 0-33,14,28,14,50,77,0,1,0,3.6,50.9,9,71,24.32,2.8,2.08,1.14,0.86,5.5,20,73,3.7,0,150,57,2.63,72,6.96,2,25:12:00,,5,35,9,60,14,95,12,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
