Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2007-12-30,39,32,422,8,25,6,0,Sun,16,17,,STL,W 48-19,23,39,16,59,300,3,2,7.7,5.1,87.6,0,0,0,7.7,7.69,6.92,6.92,13,32,122,3.8,1,422,71,5.94,57,4.11,2,35:53:00,3:08,8,63,7,50,15,113,25,5,18,2,13,6,46.2,3,3,100,6,6,6,2,2,0,0,0,0,0,2,0,0,2,0,0,1,0
2,ARI,2007-12-23,52,28,437,4,24,3,0,Sun,15,16,,ATL,W 30-27 (OT),35,52,17,67.3,369,3,0,5.8,0,107,0,0,0,7.1,7.1,8.25,8.25,10.5,28,68,2.4,0,437,80,5.46,67,6.04,0,37:09:00,3:25,4,57,10,74,14,131,24,1,22,1,16,6,37.5,1,1,100,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2007-12-16,30,22,317,10,17,3,0,Sun,14,15,@,NOR,L 24-31,19,30,11,63.3,214,3,1,10,3.3,106.7,2,19,6.25,7.1,6.69,7.63,7.16,11.3,22,103,4.7,0,317,54,5.87,60,7.02,2,28:08:00,2:55,10,78,3,15,13,93,17,4,13,0,11,3,27.3,2,2,100,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2007-12-09,46,16,355,7,23,3,0,Sun,13,14,@,SEA,L 21-42,28,46,18,60.9,305,3,5,6.5,10.9,65.5,5,32,9.8,6.6,5.98,3.04,2.75,10.9,16,50,3.1,0,355,67,5.3,62,5.63,5,30:37:00,3:14,7,55,5,23,12,78,23,3,18,2,10,3,30,2,1,50,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,ARI,2007-12-02,30,27,302,11,18,3,0,Sun,12,13,,CLE,W 27-21,18,30,12,60,169,2,1,6.7,3.3,83.9,0,0,0,5.6,5.63,5.47,5.47,9.4,27,133,4.9,0,302,57,5.3,63,6.02,1,30:03:00,3:11,11,75,10,77,21,152,18,5,9,4,12,4,33.3,0,0,,3,3,3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
6,ARI,2007-11-25,49,24,552,10,25,4,0,Sun,11,12,,SFO,L 31-37 (OT),35,49,14,71.4,456,3,2,6.1,4.1,106.3,4,30,7.55,9.3,8.6,8.69,8.04,13,24,96,4,1,552,77,7.17,67,5.58,4,38:32:00,3:39,10,70,3,42,13,112,25,4,18,3,14,4,28.6,2,2,100,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,ARI,2007-11-18,28,24,247,11,17,5,0,Sun,10,11,@,CIN,W 35-27,16,28,12,57.1,197,2,0,7.1,0,104.9,3,14,9.68,7,6.35,8.46,7.65,12.3,24,50,2.1,1,247,55,4.49,73,5.42,0,27:33:00,3:16,11,101,11,79,22,180,17,4,11,2,11,3,27.3,0,0,,5,5,5,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0
8,ARI,2007-11-11,37,28,319,9,21,4,0,Sun,9,10,,DET,W 31-21,27,37,10,73,246,4,1,10.8,2.7,117.1,2,15,5.13,6.6,6.31,7.59,7.21,9.1,28,73,2.6,0,319,67,4.76,57,4.33,4,34:28:00,3:11,9,70,10,70,19,140,21,3,15,3,11,5,45.5,0,0,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2007-11-04,30,12,195,8,9,1,0,Sun,8,9,@,TAM,L 10-17,10,30,20,33.3,172,0,2,0,6.7,26,0,0,0,5.7,5.73,2.73,2.73,17.2,12,23,1.9,1,195,42,4.64,77,4.55,2,16:53,3:05,8,64,9,70,17,134,9,1,8,0,10,2,20,0,0,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2007-10-21,42,30,364,9,19,3,0,Sun,7,7,@,WAS,L 19-21,28,42,14,66.7,280,3,2,7.1,4.8,89.7,1,3,2.33,6.7,6.51,5.95,5.81,10,30,84,2.8,0,364,73,4.99,47,3.4,3,34:42:00,3:02,9,75,6,53,15,128,19,3,13,3,16,6,37.5,2,1,50,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,ARI,2007-10-14,26,25,255,11,10,1,0,Sun,6,6,,CAR,L 10-25,14,26,12,53.8,159,0,3,0,11.5,36.2,2,21,7.14,6.1,5.68,0.92,0.86,11.4,25,96,3.8,1,255,53,4.81,65,5.75,5,28:53:00,3:21,11,101,9,65,20,166,10,3,7,0,13,5,38.5,0,0,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2007-10-07,41,31,383,11,24,4,0,Sun,5,5,@,STL,W 34-31,21,41,20,51.2,281,1,2,2.4,4.9,62,1,9,2.38,6.9,6.69,5.15,5.02,13.4,31,102,3.3,1,383,73,5.25,68,5.51,2,30:51:00,3:28,11,98,9,86,20,184,24,7,15,2,13,5,38.5,1,1,100,4,4,4,3,2,0,0,0,0,0,1,1,0,2,0,0,0,0
13,ARI,2007-09-30,35,25,301,5,19,3,0,Sun,4,4,,PIT,W 21-14,21,35,14,60,215,1,0,2.9,0,88.4,2,10,5.41,6.1,5.81,6.71,6.35,10.2,25,86,3.4,1,301,62,4.85,62,4.55,2,27:48:00,3:28,5,30,11,72,16,102,19,8,10,1,14,7,50,1,1,100,3,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,ARI,2007-09-23,40,14,364,6,17,2,0,Sun,3,3,@,BAL,L 23-26,24,40,16,60,303,2,0,5,0,101.1,1,8,2.44,7.6,7.39,8.58,8.37,12.6,14,61,4.4,0,364,55,6.62,71,5.37,1,22:17,3:09,6,65,5,40,11,105,17,5,11,1,12,4,33.3,0,0,,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0
15,ARI,2007-09-16,37,26,431,7,20,2,0,Sun,2,2,,SEA,W 23-20,23,37,14,62.2,299,1,1,2.7,2.7,85.3,0,0,0,8.1,8.08,7.41,7.41,13,26,132,5.1,1,431,63,6.84,61,5.93,1,32:06:00,3:05,7,55,4,25,11,80,20,5,15,0,12,6,50,0,0,,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ARI,2007-09-10,28,38,261,10,20,2,0,Mon,1,1,@,SFO,L 17-20,14,28,14,50,100,1,2,3.6,7.1,41.1,1,2,3.45,3.6,3.45,1.07,1.03,7.1,38,161,4.2,1,261,67,3.9,56,3.46,2,34:32:00,3:17,10,71,6,40,16,111,20,9,7,4,15,6,40,0,0,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ATL,2007-12-30,27,29,364,5,19,5,0,Sun,16,17,,SEA,W 44-41,17,27,10,63,240,4,0,14.8,0,132.9,2,11,6.9,8.9,8.28,11.85,11.03,14.1,29,124,4.3,1,364,58,6.28,82,6.11,0,25:02:00,3:10,5,41,9,85,14,126,19,6,11,2,12,5,41.7,1,0,0,5,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ATL,2007-12-23,42,23,405,10,21,3,0,Sun,15,16,@,ARI,L 27-30 (OT),28,42,14,66.7,303,2,1,4.8,2.4,94.8,2,12,4.55,7.2,6.89,7.1,6.77,10.8,23,102,4.4,1,405,67,6.04,80,5.46,1,28:21:00,3:25,10,74,4,57,14,131,21,6,13,2,15,6,40,1,1,100,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ATL,2007-12-16,15,20,133,5,5,0,0,Sun,14,15,@,TAM,L 3-37,4,15,11,26.7,27,0,2,0,13.3,0,1,7,6.25,1.8,1.69,-4.2,-3.94,6.8,20,106,5.3,0,133,36,3.69,75,3.8,4,17:01,2:34,5,48,5,44,10,92,5,4,1,0,9,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
20,ATL,2007-12-10,40,16,323,4,13,2,0,Mon,13,14,,NOR,L 14-34,23,40,17,57.5,286,2,1,5,2.5,87.3,3,12,6.98,7.2,6.65,7.03,6.53,12.4,16,37,2.3,0,323,59,5.47,71,6.66,1,24:33:00,3:03,4,40,3,20,7,60,13,1,12,0,12,2,16.7,4,2,50,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,ATL,2007-12-02,58,18,435,8,23,2,0,Sun,12,13,@,STL,L 16-28,33,58,25,56.9,324,2,2,3.4,3.4,72.2,4,32,6.45,5.6,5.23,4.72,4.42,9.8,18,111,6.2,0,435,80,5.44,62,6.6,3,30:55:00,3:16,8,55,5,46,13,101,23,5,17,1,19,8,42.1,2,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,ATL,2007-11-22,30,30,250,5,13,1,0,Thu,11,12,,IND,L 13-31,14,30,16,46.7,138,1,2,3.3,6.7,45.8,2,17,6.25,4.6,4.31,2.27,2.13,9.9,30,112,3.7,0,250,62,4.03,63,5.79,2,30:36:00,2:55,5,41,6,55,11,96,13,6,7,0,15,5,33.3,3,2,66.7,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ATL,2007-11-18,47,19,265,11,15,1,0,Sun,10,11,,TAM,L 7-31,31,47,16,66,216,1,1,2.1,2.1,77,5,29,9.62,4.6,4.15,4.06,3.67,7,19,49,2.6,0,265,71,3.73,53,5.75,4,32:34:00,3:18,11,105,6,45,17,150,15,3,11,1,16,5,31.3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,ATL,2007-11-11,27,28,277,9,12,2,0,Sun,9,10,@,CAR,W 20-13,20,27,7,74.1,189,1,0,3.7,0,107.2,2,12,6.9,7,6.52,7.74,7.21,9.5,28,88,3.1,1,277,57,4.86,59,3.98,1,31:40:00,3:02,9,68,6,43,15,111,12,5,7,0,16,5,31.3,0,0,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
25,ATL,2007-11-04,25,39,286,5,15,2,0,Sun,8,9,,SFO,W 20-16,14,25,11,56,131,0,1,0,4,55.1,1,7,3.85,5.2,5.04,3.44,3.31,9.4,39,155,4,2,286,65,4.4,64,3.92,1,30:42:00,3:06,5,31,4,30,9,61,15,8,7,0,16,6,37.5,2,1,50,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ATL,2007-10-21,41,24,334,9,18,1,0,Sun,7,7,@,NOR,L 16-22,27,41,14,65.9,259,1,0,2.4,0,92.8,3,14,6.82,6.3,5.89,6.8,6.34,9.6,24,75,3.1,0,334,68,4.91,56,5.54,0,35:27:00,3:02,9,52,6,49,15,101,18,5,13,0,18,9,50,0,0,,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ATL,2007-10-15,39,15,284,3,14,1,0,Mon,6,6,,NYG,L 10-31,18,39,21,46.2,181,0,1,0,2.6,52.2,4,28,9.3,4.6,4.21,3.49,3.16,10.1,15,103,6.9,1,284,58,4.9,75,6.55,1,20:22,3:07,3,31,6,45,9,76,14,2,12,0,13,3,23.1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ATL,2007-10-07,39,22,198,8,9,1,0,Sun,5,5,@,TEN,L 13-20,18,39,21,46.2,99,0,2,0,5.1,31.7,2,16,4.88,2.5,2.41,0.23,0.22,5.5,22,99,4.5,0,198,63,3.14,65,3.83,2,30:11:00,3:11,8,66,6,40,14,106,9,5,4,0,18,4,22.2,2,1,50,1,1,1,5,2,0,0,0,0,0,0,1,0,1,0,0,1,0
29,ATL,2007-09-30,29,30,304,2,20,2,0,Sun,4,4,,HOU,W 26-16,23,29,6,79.3,214,2,0,6.9,0,121.7,2,9,6.45,7.4,6.9,8.76,8.19,9.3,30,90,3,0,304,61,4.98,63,6.32,0,34:12:00,3:03,2,20,7,78,9,98,20,6,10,4,15,7,46.7,0,0,,2,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ATL,2007-09-23,44,19,442,10,21,2,0,Sun,3,3,,CAR,L 20-27,31,44,13,70.5,351,2,0,4.5,0,110.1,1,10,2.22,8,7.8,8.89,8.69,11.3,19,91,4.8,0,442,64,6.91,61,5.13,2,29:13:00,3:01,10,135,3,45,13,180,21,4,15,2,13,6,46.2,1,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,Rushing,,,,Tot. Off.,,,,,,,,Penalties,,,,,,First Downs,,,,Downs,,,,,,,PAT,,FG,,,,,,,,,,,,,,
Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
31,ATL,2007-09-16,20,25,248,5,13,1,0,Sun,2,2,@,JAX,L 7-13,12,20,8,60,166,0,0,0,0,93.7,7,34,25.93,8.3,6.15,8.3,6.15,13.8,25,82,3.3,1,248,52,4.77,63,5.78,0,25:45:00,2:50,5,44,11,91,16,135,13,3,9,1,14,7,50,0,0,,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
