Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2005-01-02,36,34,222,10,12,0,0,Sun,16,17,,TAM,W 12-7,16,36,20,44.4,115,0,1,0,2.8,40.9,0,0,0,3.2,3.19,1.94,1.94,7.2,34,107,3.1,0,222,70,3.17,57,4.37,1,33:49:00,3:06,10,70,8,63,18,133,12,3,8,1,18,3,16.7,0,0,,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARI,2004-12-26,33,30,317,4,18,3,0,Sun,15,16,@,SEA,L 21-24,21,33,12,63.6,220,3,2,9.1,6.1,91.5,4,28,10.81,6.7,5.95,5.76,5.14,10.5,30,97,3.2,0,317,67,4.73,63,4.78,2,32:32:00,3:04,4,25,6,51,10,76,18,4,12,2,15,4,26.7,0,0,,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2004-12-19,34,40,402,7,26,4,0,Sun,14,15,,STL,W 31-7,22,34,12,64.7,271,2,0,5.9,0,110.8,2,16,5.56,8,7.53,9.15,8.64,12.3,40,131,3.3,2,402,76,5.29,50,3.7,1,37:29:00,3:13,7,67,9,74,16,141,26,8,16,2,17,8,47.1,1,1,100,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,ARI,2004-12-12,44,25,374,9,25,3,0,Sun,13,14,,SFO,L 28-31 (OT),26,44,18,59.1,299,0,1,0,2.3,70.9,1,8,2.22,6.8,6.64,5.77,5.64,11.5,25,75,3,3,374,70,5.34,76,4.63,2,29:59:00,3:37,9,61,7,70,16,131,25,7,16,2,16,7,43.8,0,0,,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
5,ARI,2004-12-05,40,26,254,7,15,1,0,Sun,12,13,@,DET,L 12-26,18,40,22,45,160,1,4,2.5,10,25.8,1,8,2.44,4,3.9,0,0,8.9,26,94,3.6,0,254,67,3.79,61,6.52,4,29:41:00,3:10,7,70,10,69,17,139,15,7,6,2,16,6,37.5,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2004-11-28,36,24,245,6,17,0,0,Sun,11,12,,NYJ,L 3-13,19,36,17,52.8,174,0,3,0,8.3,32.3,1,7,2.7,4.8,4.7,1.08,1.05,9.2,24,71,3,0,245,61,4.02,61,5.33,4,25:53:00,3:01,6,51,9,85,15,136,17,3,10,4,13,5,38.5,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2004-11-21,52,28,399,12,23,1,0,Sun,10,11,@,CAR,L 10-35,28,52,24,53.8,314,1,3,1.9,5.8,56.8,4,29,7.14,6,5.61,3.83,3.55,11.2,28,85,3,0,399,84,4.75,54,5.87,4,33:44:00,3:23,12,105,12,85,24,190,23,4,14,5,19,9,47.4,2,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2004-11-14,24,32,178,3,18,2,0,Sun,9,10,,NYG,W 17-14,12,24,12,50,74,0,0,0,0,59.4,2,16,7.69,3.1,2.85,3.08,2.85,6.2,32,104,3.3,2,178,58,3.07,65,4.74,0,26:33:00,3:02,3,15,10,97,13,112,18,8,6,4,13,5,38.5,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2004-11-07,31,27,270,9,17,3,0,Sun,8,9,@,MIA,W 24-23,18,31,13,58.1,149,1,0,3.2,0,83,1,13,3.13,4.8,4.66,5.45,5.28,8.3,27,121,4.5,1,270,59,4.58,70,5.76,1,27:34:00,3:23,9,45,12,99,21,144,17,5,7,5,13,3,23.1,1,1,100,3,3,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
10,ARI,2004-10-31,24,38,213,14,14,2,0,Sun,7,8,@,BUF,L 14-38,9,24,15,37.5,85,1,0,4.2,0,64.8,3,16,11.11,3.5,3.15,4.38,3.89,9.4,38,128,3.4,1,213,65,3.28,55,3.8,0,31:42:00,3:24,14,101,7,55,21,156,14,7,4,3,16,4,25,2,1,50,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,ARI,2004-10-24,36,37,316,6,16,2,0,Sun,6,7,,SEA,W 25-17,22,36,14,61.1,189,1,1,2.8,2.8,75.2,3,23,7.69,5.3,4.85,4.56,4.21,8.6,37,127,3.4,1,316,76,4.16,56,4.59,2,39:51:00,3:16,6,45,4,35,10,80,16,4,10,2,19,8,42.1,1,0,0,2,2,2,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0
12,ARI,2004-10-10,34,29,320,8,19,4,0,Sun,5,5,@,SFO,L 28-31 (OT),19,34,15,55.9,217,3,1,8.8,2.9,94.1,2,14,5.56,6.4,6.03,6.82,6.44,11.4,29,103,3.6,1,320,65,4.92,81,5.53,1,30:49:00,3:32,8,60,11,85,19,145,19,6,12,1,14,5,35.7,1,1,100,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,ARI,2004-10-03,19,40,373,7,19,4,0,Sun,4,4,,NOR,W 34-10,13,19,6,68.4,162,1,0,5.3,0,115.7,2,16,9.52,8.5,7.71,9.58,8.67,12.5,40,211,5.3,2,373,61,6.11,55,5.07,1,34:10:00,3:16,7,65,12,104,19,169,19,11,6,2,12,3,25,1,1,100,4,4,4,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0
14,ARI,2004-09-26,32,26,240,8,13,0,0,Sun,3,3,@,ATL,L 3-6,25,32,7,78.1,179,0,0,0,0,97.7,6,59,15.79,5.6,4.71,5.59,4.71,7.2,26,61,2.3,0,240,64,3.75,55,5.15,4,34:37:00,3:14,8,66,3,15,11,81,13,3,9,1,16,7,43.8,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,2004-09-19,29,16,167,6,14,1,0,Sun,2,2,,NWE,L 12-23,13,29,16,44.8,117,0,2,0,6.9,33.7,5,43,14.71,4,3.44,0.93,0.79,9,16,50,3.1,1,167,50,3.34,70,5.41,2,24:44:00,3:13,6,43,12,79,18,122,14,2,7,5,10,2,20,1,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
16,ARI,2004-09-12,29,23,260,8,14,1,0,Sun,1,1,@,STL,L 10-17,18,29,11,62.1,157,0,0,0,0,79.8,2,24,6.45,5.4,5.06,5.41,5.06,8.7,23,103,4.5,1,260,54,4.81,64,7,0,26:10:00,3:15,8,59,7,55,15,114,14,4,9,1,14,5,35.7,0,0,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ATL,2005-01-23,24,26,202,5,14,1,0,Sun,2,20,@,PHI,L 10-27,11,24,13,45.8,103,0,1,0,4.2,46.5,4,33,14.29,4.3,3.68,2.42,2.07,9.4,26,99,3.8,1,202,54,3.74,62,5.26,1,26:45:00,3:00,5,24,6,59,11,83,14,7,4,3,11,2,18.2,3,2,66.7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ATL,2005-01-15,17,40,397,4,18,6,0,Sat,1,19,,STL,W 47-17,13,17,4,76.5,70,2,0,11.8,0,125.6,1,14,5.56,4.1,3.89,6.47,6.11,5.4,40,327,8.2,3,397,58,6.84,57,5.95,1,35:35:00,2:59,4,32,4,26,8,58,18,14,4,0,12,7,58.3,2,2,100,6,6,6,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
19,ATL,2005-01-02,29,38,354,8,22,3,0,Sun,16,17,@,SEA,L 26-28,20,29,9,69,150,2,1,6.9,3.4,92.3,3,18,9.38,5.2,4.69,5,4.53,7.5,38,204,5.4,0,354,70,5.06,52,4.87,1,34:54:00,2:56,8,53,1,5,9,58,22,12,9,1,17,9,52.9,2,2,100,3,2,2,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0
20,ATL,2004-12-26,41,24,267,6,15,1,0,Sun,15,16,@,NOR,L 13-26,17,41,24,41.5,174,0,2,0,4.9,35.4,3,14,6.82,4.2,3.95,2.05,1.91,10.2,24,93,3.9,1,267,68,3.93,68,5.43,3,26:55:00,3:11,6,35,10,73,16,108,15,5,9,1,16,6,37.5,0,0,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
21,ATL,2004-12-18,28,38,329,6,22,4,0,Sat,14,15,,CAR,W 34-31 (OT),11,28,17,39.3,125,2,2,7.1,7.1,51.8,4,29,12.5,4.5,3.91,2.68,2.34,11.4,38,204,5.4,2,329,70,4.7,64,5.86,4,32:37:00,3:43,6,66,7,50,13,116,22,13,7,2,14,7,50,1,1,100,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
22,ATL,2004-12-12,21,46,354,9,23,5,0,Sun,13,14,,OAK,W 35-10,13,21,8,61.9,135,0,0,0,0,82.4,1,10,4.55,6.4,6.14,6.43,6.14,10.4,46,219,4.8,4,354,68,5.21,52,5.69,0,36:33:00,2:56,9,75,9,59,18,134,23,13,7,3,16,10,62.5,1,0,0,5,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
