Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1984-12-16,27,38,313,6,24,2,0,Sun,16,16,,PHI,W 26-10,15,27,12,55.6,187,1,1,3.7,3.7,82.8,9,56,25,6.9,5.19,6,4.5,12.5,38,126,3.3,1,313,74,4.23,67,5.39,2,33:49:00,,6,33,5,60,11,93,24,,,,,,,,,,2,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1984-12-09,38,19,274,9,15,0,0,Sun,15,15,@,TAM,L 6-23,22,38,16,57.9,204,0,2,0,5.3,53.3,3,23,7.32,5.4,4.98,3,2.78,9.3,19,70,3.7,0,274,60,4.57,65,5.15,2,28:10:00,,9,83,6,60,15,143,15,,,,,,,,,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1984-12-02,43,36,414,8,23,2,0,Sun,14,14,,SFO,L 17-35,22,43,21,51.2,261,1,3,2.3,7,51.4,3,28,6.52,6.1,5.67,3.4,3.17,11.9,36,153,4.3,1,414,82,5.05,57,5.09,6,35:27:00,,8,50,9,73,17,123,23,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,ATL,1984-11-25,34,28,314,5,19,2,0,Sun,13,13,@,CIN,L 14-35,17,34,17,50,197,0,2,0,5.9,44.5,1,9,2.86,5.8,5.63,3.15,3.06,11.6,28,117,4.2,2,314,63,4.98,63,6.22,3,26:09:00,,5,28,3,25,8,53,19,,,,,,,,,,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,ATL,1984-11-18,38,22,210,2,18,1,0,Sun,12,12,,CLE,L 7-23,23,38,15,60.5,139,1,2,2.6,5.3,65,11,95,22.45,3.7,2.84,1.82,1.41,6,22,71,3.2,0,210,71,2.96,59,5.59,4,31:04:00,,2,20,5,35,7,55,18,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1984-11-11,33,35,280,9,20,1,0,Sun,11,11,,NOR,L 13-17,20,33,13,60.6,160,0,0,0,0,78.7,5,47,13.16,4.8,4.21,4.85,4.21,8,35,120,3.4,1,280,73,3.84,62,5.19,1,33:41:00,,9,76,7,86,16,162,20,,,,,,,,,,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1984-11-05,25,29,272,5,16,2,0,Mon,10,10,@,WAS,L 14-27,13,25,12,52,124,0,1,0,4,56.7,7,44,21.88,5,3.88,3.16,2.47,9.5,29,148,5.1,2,272,61,4.46,69,3.7,3,28:09:00,,5,68,3,25,8,93,16,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1984-10-28,28,31,296,10,15,1,0,Sun,9,9,@,PIT,L 10-35,22,28,6,78.6,193,1,1,3.6,3.6,97.2,4,32,12.5,6.9,6.03,6,5.25,8.8,31,103,3.3,0,296,63,4.7,59,5.32,3,32:52:00,,10,92,4,30,14,122,15,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,ATL,1984-10-22,31,25,224,8,11,1,0,Mon,8,8,,RAM,L 10-24,20,31,11,64.5,138,1,0,3.2,0,86,1,6,3.13,4.5,4.31,5.1,4.94,6.9,25,86,3.4,0,224,57,3.93,63,4.79,3,28:21:00,,8,60,9,97,17,157,11,,,,,,,,,,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,ATL,1984-10-14,31,27,282,7,16,1,0,Sun,7,7,,NYG,L 7-19,19,31,12,61.3,179,0,3,0,9.7,41.9,4,32,11.43,5.8,5.11,1.42,1.26,9.4,27,103,3.8,1,282,62,4.55,64,5.27,4,26:40:00,,7,40,3,25,10,65,16,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1984-10-07,19,37,356,7,18,3,0,Sun,6,6,@,RAM,W 30-28,14,19,5,73.7,209,0,0,0,0,112.4,3,14,13.64,11,9.5,11,9.5,14.9,37,147,4,3,356,59,6.03,54,5.98,1,34:47:00,,7,55,6,47,13,102,18,,,,,,,,,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1984-09-30,41,35,418,5,22,0,0,Sun,5,5,@,SFO,L 5-14,22,41,19,53.7,257,0,2,0,4.9,53.6,2,10,4.65,6.3,5.98,4.07,3.88,11.7,35,161,4.6,0,418,78,5.36,57,5.44,3,34:57:00,,5,45,5,56,10,101,22,,,,,,,,,,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,ATL,1984-09-23,17,31,331,10,18,6,0,Sun,4,4,,HOU,W 42-10,13,17,4,76.5,193,3,0,17.6,0,157.1,3,18,15,11.4,9.65,14.88,12.65,14.8,31,138,4.5,2,331,51,6.49,66,4.2,1,29:15:00,,10,62,5,27,15,89,18,,,,,,,,,,6,6,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,ATL,1984-09-16,24,25,258,10,13,2,0,Sun,3,3,@,MIN,L 20-27,14,24,10,58.3,147,2,1,8.3,4.2,95,7,48,22.58,6.1,4.74,5.92,4.58,10.5,25,111,4.4,0,258,56,4.61,71,5.83,2,28:24:00,,10,85,4,25,14,110,13,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ATL,1984-09-09,28,25,380,10,22,3,0,Sun,2,2,,DET,L 24-27 (OT),24,28,4,85.7,289,2,0,7.1,0,135,1,10,3.45,10.3,9.97,11.75,11.34,12,25,91,3.6,1,380,54,7.04,75,5.99,0,25:16:00,,10,71,10,74,20,145,22,,,,,,,,,,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ATL,1984-09-02,21,46,422,14,22,4,0,Sun,1,1,@,NOR,W 36-28,14,21,7,66.7,173,2,2,9.5,9.5,88.9,3,24,12.5,8.2,7.21,5.86,5.13,12.4,46,249,5.4,2,422,70,6.03,68,3.94,3,29:11:00,,14,143,9,75,23,218,22,,,,,,,,,,4,4,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
17,BUF,1984-12-16,58,18,345,10,25,3,0,Sun,16,16,@,CIN,L 21-52,36,58,22,62.1,281,1,3,1.7,5.2,59.7,2,21,3.33,4.8,4.68,2.86,2.77,7.8,18,64,3.6,2,345,78,4.42,65,6.45,3,29:05:00,,10,75,5,52,15,127,25,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,BUF,1984-12-08,34,24,222,6,11,2,0,Sat,15,15,@,NYJ,L 17-21,14,34,20,41.2,140,0,2,0,5.9,31.7,3,22,8.11,4.1,3.78,1.47,1.35,10,24,82,3.4,1,222,61,3.64,71,4.83,3,27:34:00,,6,41,4,20,10,61,11,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
