Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1981-01-04,33,27,371,4,18,3,0,Sun,1,18,,DAL,L 27-30,18,33,15,54.5,285,2,1,6.1,3,95.5,4,35,10.81,8.6,7.7,8.48,7.57,15.8,27,86,3.2,1,371,64,5.8,65,6.49,2,,,4,48,6,72,10,120,18,,,,,,,,,,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1980-12-21,26,42,349,3,21,2,0,Sun,16,16,@,RAM,L 17-20 (OT),13,26,13,50,184,2,1,7.7,3.8,89.4,4,41,13.33,7.1,6.13,6.88,5.97,14.2,42,165,3.9,0,349,72,4.85,74,6.04,3,,,3,68,7,52,10,120,21,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1980-12-14,34,43,463,3,26,5,0,Sun,15,15,,SFO,W 35-10,24,34,10,70.6,292,3,1,8.8,2.9,114.8,1,8,2.86,8.6,8.34,9.03,8.77,12.2,43,171,4,1,463,78,5.94,66,4.7,1,,,3,33,3,15,6,48,26,,,,,,,,,,5,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,ATL,1980-12-07,33,30,375,1,23,2,0,Sun,14,14,@,PHI,W 20-17,13,33,20,39.4,193,2,2,6.1,6.1,57,2,22,5.71,5.8,5.51,4.33,4.09,14.8,30,182,6.1,0,375,65,5.77,68,4.06,3,,,1,14,4,27,5,41,23,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1980-11-30,32,31,341,5,18,1,0,Sun,13,13,,WAS,W 10-6,14,32,18,43.8,210,1,0,3.1,0,77.5,1,9,3.03,6.6,6.36,7.19,6.97,15,31,131,4.2,0,341,64,5.33,52,3.71,0,,,5,42,5,35,10,77,18,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1980-11-23,32,27,326,9,18,4,0,Sun,12,12,,CHI,W 28-17,17,32,15,53.1,239,3,1,9.4,3.1,97.1,1,11,3.03,7.5,7.24,7.94,7.7,14.1,27,87,3.2,1,326,60,5.43,71,3.99,2,,,9,90,12,106,21,196,18,,,,,,,,,,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1980-11-16,24,45,370,5,22,4,0,Sun,11,11,,NOR,W 31-13,13,24,11,54.2,164,3,0,12.5,0,120.7,3,31,11.11,6.8,6.07,9.33,8.3,12.6,45,206,4.6,1,370,72,5.14,61,5.2,0,,,5,55,7,49,12,104,22,,,,,,,,,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1980-11-09,47,38,563,5,34,4,0,Sun,10,10,@,STL,W 33-27 (OT),31,47,16,66,354,1,1,2.1,2.1,88.8,2,24,4.08,7.5,7.22,7,6.71,11.4,38,209,5.5,3,563,87,6.47,61,6.8,2,,,5,36,6,84,11,120,34,,,,,,,,,,4,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1980-11-02,24,42,311,7,19,3,0,Sun,9,9,@,BUF,W 30-14,13,24,11,54.2,161,1,3,4.2,12.5,55,3,32,11.11,6.7,5.96,1.92,1.7,12.4,42,150,3.6,2,311,69,4.51,66,5.52,3,,,7,48,4,30,11,78,19,,,,,,,,,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1980-10-26,22,29,272,3,15,2,0,Sun,8,8,,RAM,W 13-10,12,22,10,54.5,151,2,2,9.1,9.1,79.5,6,58,21.43,6.9,5.39,4.59,3.61,12.6,29,121,4.2,0,272,57,4.77,70,4.53,2,,,3,25,6,52,9,77,15,,,,,,,,,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1980-10-19,28,41,355,3,24,6,0,Sun,7,7,@,NOR,W 41-14,16,28,12,57.1,193,4,0,14.3,0,119.3,1,9,3.45,6.9,6.66,9.75,9.41,12.1,41,162,4,2,355,70,5.07,51,6.63,0,,,3,43,6,89,9,132,24,,,,,,,,,,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1980-10-12,32,23,240,4,18,1,0,Sun,6,6,,NYJ,L 7-14,20,32,12,62.5,143,0,3,0,9.4,37,3,25,8.57,4.5,4.09,0.25,0.23,7.2,23,97,4.2,1,240,58,4.14,67,4.16,4,,,4,35,5,35,9,70,18,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ATL,1980-10-05,22,36,365,9,19,5,0,Sun,5,5,,DET,W 43-28,11,22,11,50,174,1,2,4.5,9.1,55.7,2,9,8.33,7.9,7.25,4.73,4.33,15.8,36,191,5.3,1,365,60,6.08,68,5.44,2,,,9,118,7,63,16,181,19,,,,,,,,,,5,5,5,2,2,0,0,1,0,0,0,2,1,3,0,0,0,0
14,ATL,1980-09-28,17,38,242,3,19,2,0,Sun,4,4,@,SFO,W 20-17,11,17,6,64.7,83,1,0,5.9,0,97.7,1,7,5.56,4.9,4.61,6.06,5.72,7.5,38,159,4.2,1,242,56,4.32,77,5.21,0,,,3,20,8,76,11,96,19,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ATL,1980-09-21,36,21,359,11,18,2,0,Sun,3,3,,MIA,L 17-20,18,36,18,50,310,2,0,5.6,0,100.7,3,22,7.69,8.6,7.95,9.72,8.97,17.2,21,49,2.3,0,359,60,5.98,70,3.51,2,,,11,94,6,43,17,137,18,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ATL,1980-09-14,30,41,404,9,22,4,0,Sun,2,2,@,NWE,W 37-21,19,30,11,63.3,237,3,0,10,0,122.1,1,7,3.23,7.9,7.65,9.9,9.58,12.5,41,167,4.1,1,404,72,5.61,61,4.26,1,,,9,60,5,49,14,109,22,,,,,,,,,,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ATL,1980-09-07,28,32,314,11,20,3,0,Sun,1,1,@,MIN,L 23-24,14,28,14,50,156,2,1,7.1,3.6,77.2,1,9,3.45,5.6,5.38,5.39,5.21,11.1,32,158,4.9,1,314,61,5.15,68,6.59,1,,,11,80,10,114,21,194,20,,,,,,,,,,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BAL,1980-12-21,40,35,335,9,22,4,0,Sun,16,16,,KAN,L 28-38,23,40,17,57.5,212,3,1,7.5,2.5,89.2,3,24,6.98,5.3,4.93,5.68,5.28,9.2,35,123,3.5,1,335,78,4.29,63,5.9,2,,,9,67,3,30,12,97,22,,,,,,,,,,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,BAL,1980-12-14,35,29,276,7,14,2,0,Sun,15,15,,MIA,L 14-24,16,35,19,45.7,140,1,2,2.9,5.7,43.6,1,9,2.78,4,3.89,2,1.94,8.8,29,136,4.7,1,276,65,4.25,71,4.48,2,,,7,93,6,47,13,140,14,,,,,,,,,,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BAL,1980-12-07,40,21,313,6,23,4,0,Sun,14,14,@,CIN,L 33-34,21,40,19,52.5,219,2,1,5,2.5,78,3,30,6.98,5.5,5.09,5.35,4.98,10.4,21,94,4.5,2,313,64,4.89,81,6.28,2,,,6,55,8,76,14,131,23,,,,,,,,,,4,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BAL,1980-11-30,24,40,201,8,14,4,0,Sun,13,13,,BUF,W 28-24,8,24,16,33.3,88,1,2,4.2,8.3,24.3,0,0,0,3.7,3.67,0.75,0.75,11,40,113,2.8,3,201,64,3.14,69,4.12,3,,,8,71,5,36,13,107,14,,,,,,,,,,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BAL,1980-11-23,28,28,327,5,18,3,0,Sun,12,12,@,NWE,L 21-47,17,28,11,60.7,172,1,3,3.6,10.7,54.8,3,28,9.68,6.1,5.55,2.04,1.84,10.1,28,155,5.5,2,327,59,5.54,70,5.51,5,,,5,50,4,25,9,75,18,,,,,,,,,,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
23,BAL,1980-11-16,17,36,287,12,14,1,0,Sun,11,11,@,DET,W 10-9,9,17,8,52.9,150,0,3,0,17.6,43.4,0,0,0,8.8,8.82,0.88,0.88,16.7,36,137,3.8,1,287,53,5.42,71,4.38,4,,,12,103,7,69,19,172,14,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BAL,1980-11-09,39,21,356,3,26,4,0,Sun,10,10,,CLE,L 27-28,27,39,12,69.2,246,3,1,7.7,2.6,105.6,5,43,11.36,6.3,5.59,6.69,5.93,9.1,21,110,5.2,1,356,65,5.48,70,5.76,1,,,3,22,7,58,10,80,26,,,,,,,,,,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
