Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ATL,1983-01-09,23,24,235,7,24,3,0,Sun,1,18,@,MIN,L 24-30,9,23,14,39.1,115,0,2,0,8.7,22.7,3,19,11.54,5,4.42,1.09,0.96,12.8,24,120,5,1,235,50,4.7,76,4.97,2,,,7,98,10,84,17,182,24,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0
2,ATL,1983-01-02,24,25,248,6,16,0,0,Sun,9,17,@,NOR,L 6-35,16,24,8,66.7,168,0,1,0,4.2,72.9,4,20,14.29,7,6,5.13,4.39,10.5,25,80,3.2,0,248,53,4.68,73,6.33,2,,,6,61,6,41,12,102,16,,,,,,,,,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1982-12-26,43,22,335,16,19,1,0,Sun,8,16,,GNB,L 7-38,30,43,13,69.8,277,1,1,2.3,2.3,89.3,4,43,8.51,6.4,5.89,5.86,5.36,9.2,22,58,2.6,0,335,69,4.86,53,7.75,1,,,16,153,6,45,22,198,19,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ATL,1982-12-19,21,57,391,9,23,2,0,Sun,7,15,@,SFO,W 17-7,12,21,9,57.1,160,0,2,0,9.5,45,2,16,8.7,7.6,6.96,3.33,3.04,13.3,57,231,4.1,2,391,80,4.89,49,4.47,2,,,9,75,3,34,12,109,23,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1982-12-12,32,45,329,9,26,5,0,Sun,6,14,,NOR,W 35-0,21,32,11,65.6,140,2,1,6.3,3.1,85.5,2,21,5.88,4.4,4.12,4.22,3.97,6.7,45,189,4.2,3,329,79,4.16,60,1.52,4,,,9,82,10,91,19,173,26,,,,,,,,,,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1982-12-05,23,37,342,7,19,4,0,Sun,5,13,@,DEN,W 34-27,14,23,9,60.9,205,2,1,8.7,4.3,105.2,3,24,11.54,8.9,7.88,8.7,7.69,14.6,37,137,3.7,2,342,63,5.43,73,4.79,2,,,7,40,3,20,10,60,19,,,,,,,,,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1982-11-28,25,31,274,6,20,2,0,Sun,4,12,,STL,L 20-23,15,25,10,60,143,2,1,8,4,85.9,0,0,0,5.7,5.72,5.52,5.52,9.5,31,131,4.2,0,274,56,4.89,61,4.9,2,,,6,40,9,137,15,177,20,,,,,,,,,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1982-11-21,24,39,387,10,24,4,0,Sun,3,11,,RAM,W 34-17,19,24,5,79.2,213,1,0,4.2,0,117.5,0,0,0,8.9,8.88,9.71,9.71,11.2,39,174,4.5,3,387,63,6.14,52,5.27,0,,,10,89,3,20,13,109,24,,,,,,,,,,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1982-09-19,56,21,385,7,26,2,0,Sun,2,2,,RAI,L 14-38,34,56,22,60.7,322,1,3,1.8,5.4,64.2,7,53,11.11,5.8,5.11,3.7,3.29,9.5,21,63,3,1,385,84,4.58,64,5.69,5,,,7,67,15,117,22,184,26,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,ATL,1982-09-12,27,33,272,7,17,2,0,Sun,1,1,@,NYG,W 16-14,15,27,12,55.6,154,0,1,0,3.7,61.8,3,33,10,5.7,5.13,4.04,3.63,10.3,33,118,3.6,1,272,63,4.32,66,5.73,3,,,7,48,5,44,12,92,17,,,,,,,,,,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
11,BAL,1983-01-02,33,36,273,3,20,1,0,Sun,9,17,,MIA,L 7-34,16,33,17,48.5,116,0,2,0,6.1,37.9,7,48,17.5,3.5,2.9,0.79,0.65,7.3,36,157,4.4,1,273,76,3.59,65,5.71,5,,,3,30,2,10,5,40,20,,,,,,,,,,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,BAL,1982-12-26,44,25,370,9,20,3,0,Sun,8,16,@,SDG,L 26-44,29,44,15,65.9,300,1,1,2.3,2.3,85,2,16,4.35,6.8,6.52,6.25,5.98,10.3,25,70,2.8,1,370,71,5.21,66,7.68,5,,,9,64,9,63,18,127,20,,,,,,,,,,3,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0
13,BAL,1982-12-19,40,39,295,10,19,2,0,Sun,7,15,,GNB,T 20-20 (OT),23,40,17,57.5,185,1,0,2.5,0,80.3,3,26,6.98,4.6,4.3,5.13,4.77,8,39,110,2.8,1,295,82,3.6,79,4.58,1,,,10,80,6,54,16,134,19,,,,,,,,,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,BAL,1982-12-12,32,32,198,3,15,1,0,Sun,6,14,@,MIN,L 10-13,14,32,18,43.8,116,0,2,0,6.3,27.6,0,0,0,3.6,3.63,0.81,0.81,8.3,32,82,2.6,0,198,64,3.09,66,5.23,2,,,3,29,9,82,12,111,15,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
15,BAL,1982-12-05,20,39,333,9,19,2,0,Sun,5,13,,CIN,L 17-20,11,20,9,55,123,2,0,10,0,111.7,2,23,9.09,6.2,5.59,8.15,7.41,11.2,39,210,5.4,0,333,61,5.46,62,4.68,0,,,9,59,6,46,15,105,19,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BAL,1982-11-28,17,20,88,5,6,0,0,Sun,4,12,@,BUF,L 0-20,3,17,14,17.6,52,0,0,0,0,42.3,1,10,5.56,3.1,2.89,3.06,2.89,17.3,20,36,1.8,0,88,38,2.32,73,4.27,1,,,5,72,10,79,15,151,6,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BAL,1982-11-21,34,25,318,5,17,0,0,Sun,3,11,@,NYJ,L 0-37,17,34,17,50,230,0,2,0,5.9,47.4,0,0,0,6.8,6.76,4.12,4.12,13.5,25,88,3.5,0,318,59,5.39,74,6.43,3,,,5,26,4,40,9,66,17,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BAL,1982-09-19,17,42,256,6,14,2,0,Sun,2,2,@,MIA,L 20-24,9,17,8,52.9,96,2,0,11.8,0,117,3,33,15,5.6,4.8,8,6.8,10.7,42,160,3.8,0,256,62,4.13,60,5.05,0,,,6,63,1,5,7,68,14,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,BAL,1982-09-12,46,35,352,2,22,1,0,Sun,1,1,,NWE,L 13-24,20,46,26,43.5,221,0,3,0,6.5,32.8,2,18,4.17,4.8,4.6,1.87,1.79,11.1,35,131,3.7,1,352,83,4.24,60,5.5,4,,,2,10,12,87,14,97,22,,,,,,,,,,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BUF,1983-01-02,28,25,353,5,17,2,0,Sun,9,17,@,NWE,L 19-30,17,28,11,60.7,224,1,1,3.6,3.6,84.5,1,10,3.45,8,7.72,7.11,6.86,13.2,25,129,5.2,1,353,54,6.54,74,5.65,1,,,5,34,2,10,7,44,17,,,,,,,,,,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BUF,1982-12-27,33,28,301,12,17,1,0,Mon,8,16,@,MIA,L 10-27,21,33,12,63.6,163,0,2,0,6.1,55,4,36,10.81,4.9,4.41,2.21,1.97,7.8,28,138,4.9,1,301,65,4.63,57,4.25,4,,,12,97,7,60,19,157,17,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
