Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1983-12-18,32,41,394,8,25,4,0,Sun,16,16,,BUF,W 31-14,20,32,12,62.5,151,2,0,6.3,0,95.4,1,6,3.03,4.7,4.58,5.97,5.79,7.6,41,243,5.9,2,394,74,5.32,61,4.54,2,37:00:00,,8,80,15,123,23,203,25,,,,,,,,,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1983-12-10,27,32,365,3,21,3,0,Sat,15,15,@,MIA,L 24-31,16,27,11,59.3,179,1,0,3.7,0,94.4,3,19,10,6.6,5.97,7.37,6.63,11.2,32,186,5.8,2,365,62,5.89,56,6.3,2,28:28:00,,3,27,1,13,4,40,21,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1983-12-04,37,21,398,4,24,3,0,Sun,14,14,@,WAS,L 21-37,24,37,13,64.9,269,0,4,0,10.8,50.3,3,31,7.5,7.3,6.73,2.41,2.23,11.2,21,129,6.1,3,398,61,6.52,67,5.52,6,26:57:00,,4,30,5,42,9,72,24,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,ATL,1983-11-27,35,28,445,14,25,6,0,Sun,13,13,,GNB,W 47-41 (OT),22,35,13,62.9,293,2,1,5.7,2.9,97.7,1,10,2.78,8.4,8.14,8.23,8,13.3,28,152,5.4,2,445,64,6.95,66,7.58,1,31:03:00,,14,134,6,68,20,202,25,,,,,,,,,,6,5,5,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0
5,ATL,1983-11-20,39,25,373,8,19,4,0,Sun,12,12,,SFO,W 28-24,28,39,11,71.8,275,2,0,5.1,0,111.2,4,26,9.3,7.1,6.4,8.08,7.33,9.8,25,98,3.9,1,373,68,5.49,59,5.22,0,33:32:00,,8,73,3,14,11,87,19,,,,,,,,,,4,4,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,ATL,1983-11-14,30,29,209,2,17,1,0,Mon,11,11,,RAM,L 13-36,14,30,16,46.7,116,0,1,0,3.3,46.1,2,21,6.25,3.9,3.63,2.37,2.22,8.3,29,93,3.2,1,209,61,3.43,64,6.91,4,27:59:00,,2,20,3,38,5,58,17,,,,,,,,,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1983-11-06,28,29,213,1,14,1,0,Sun,10,10,@,NOR,L 10-27,17,28,11,60.7,120,0,1,0,3.6,59.4,5,25,15.15,4.3,3.64,2.68,2.27,7.1,29,93,3.2,1,213,62,3.44,59,6.2,3,29:42:00,,1,15,4,30,5,45,14,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1983-10-30,33,42,430,5,28,3,0,Sun,9,9,,NWE,W 24-13,22,33,11,66.7,235,1,0,3,0,99.6,2,17,5.71,7.1,6.71,7.73,7.29,10.7,42,195,4.6,1,430,77,5.58,62,6.73,2,36:40:00,,5,40,6,44,11,84,28,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
9,ATL,1983-10-23,36,26,407,7,19,3,0,Sun,8,8,@,NYJ,W 27-21,25,36,11,69.4,277,2,2,5.6,5.6,91.6,4,36,10,7.7,6.93,6.31,5.68,11.1,26,130,5,0,407,66,6.17,71,5.69,2,26:01:00,,7,68,8,75,15,143,19,,,,,,,,,,3,3,3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0
10,ATL,1983-10-16,22,29,268,5,15,3,0,Sun,7,7,@,RAM,L 21-27,13,22,9,59.1,158,2,0,9.1,0,112.5,1,5,4.35,7.2,6.87,9,8.61,12.2,29,110,3.8,1,268,52,5.15,74,4.34,1,24:46:00,,5,51,6,35,11,86,15,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1983-10-09,37,28,292,3,20,2,0,Sun,6,6,,NOR,L 17-19,20,37,17,54.1,203,1,1,2.7,2.7,72,5,38,11.9,5.5,4.83,4.81,4.24,10.2,28,89,3.2,1,292,70,4.17,62,5.02,1,32:03:00,,3,25,2,35,5,60,20,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
