Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1992-01-04,32,14,193,3,12,1,0,Sat,2,19,@,WAS,L 7-24,17,32,15,53.1,150,0,4,0,12.5,29.9,4,28,11.11,4.7,4.17,-0.94,-0.83,8.8,14,43,3.1,1,193,50,3.86,74,4.49,6,,,3,19,4,23,7,42,12,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1991-12-28,30,22,334,6,20,3,0,Sat,1,18,@,NOR,W 27-20,18,30,12,60,255,3,1,10,3.3,111.9,5,36,14.29,8.5,7.29,9,7.71,14.2,22,79,3.6,0,334,57,5.86,67,4.93,2,26:52:00,,6,48,5,49,11,97,20,,,,10,6,60,0,0,,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1991-12-22,39,18,403,9,17,3,0,Sun,16,17,@,DAL,L 27-31,19,39,20,48.7,316,3,0,7.7,0,103,2,9,4.88,8.1,7.71,9.64,9.17,16.6,18,87,4.8,0,403,59,6.83,68,5.75,1,26:06:00,,9,74,7,65,16,139,17,,,,13,5,38.5,1,0,0,3,3,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0
4,ATL,1991-12-15,27,33,271,7,14,3,0,Sun,15,16,,SEA,W 26-13,14,27,13,51.9,140,2,0,7.4,0,94.7,2,20,6.9,5.2,4.83,6.67,6.21,10,33,131,4,0,271,62,4.37,54,4.35,1,34:28:00,,7,59,6,50,13,109,14,,,,16,7,43.8,0,0,,3,3,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5,ATL,1991-12-08,31,29,359,5,21,4,0,Sun,14,15,@,RAM,W 31-14,20,31,11,64.5,275,2,1,6.5,3.2,100.9,0,0,0,8.9,8.87,8.71,8.71,13.8,29,84,2.9,2,359,60,5.98,59,4.64,1,30:49:00,,5,39,5,31,10,70,21,,,,10,5,50,0,0,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1991-12-01,37,20,352,9,23,5,0,Sun,13,14,,GNB,W 35-31,20,37,17,54.1,273,2,1,5.4,2.7,85.5,2,8,5.13,7.4,7,7.24,6.87,13.7,20,79,4,2,352,59,5.97,67,5.87,1,25:55:00,,9,50,8,98,17,148,23,,,,10,4,40,3,1,33.3,5,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,ATL,1991-11-24,31,28,331,5,12,2,0,Sun,12,13,@,NOR,W 23-20 (OT),15,31,16,48.4,240,2,3,6.5,9.7,59.3,4,20,11.43,7.7,6.86,4.68,4.14,16,28,91,3.3,0,331,63,5.25,78,5.37,4,30:23:00,,5,36,6,45,11,81,12,,,,14,1,7.1,0,0,,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1991-11-17,25,31,358,7,20,5,0,Sun,11,12,,TAM,W 43-7,15,25,10,60,226,3,0,12,0,131,1,10,3.85,9,8.69,11.44,11,15.1,31,132,4.3,1,358,57,6.28,51,4.88,0,33:54:00,,7,60,7,51,14,111,20,,,,11,5,45.5,0,0,,5,5,5,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0
9,ATL,1991-11-10,35,18,271,6,12,2,0,Sun,10,11,@,WAS,L 17-56,14,35,21,40,209,2,3,5.7,8.6,47.7,6,34,14.63,6,5.1,3.26,2.78,14.9,18,62,3.4,0,271,59,4.59,68,8.22,6,25:44:00,,6,40,6,56,12,96,12,,,,12,3,25,0,0,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10,ATL,1991-11-03,31,30,202,4,11,2,0,Sun,9,10,,SFO,W 17-14,12,31,19,38.7,127,2,1,6.5,3.2,60,1,4,3.13,4.1,3.97,3.94,3.81,10.6,30,75,2.5,0,202,62,3.26,67,5.91,1,30:26:00,,4,47,10,60,14,107,11,,,,17,5,29.4,2,2,100,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
