Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1987-12-27,36,22,278,6,14,1,0,Sun,15,16,,DET,L 13-30,16,36,20,44.4,180,1,4,2.8,11.1,31.5,2,16,5.26,5,4.74,0.56,0.53,11.3,22,98,4.5,0,278,60,4.63,68,4.75,5,23:52,,6,70,4,30,10,100,14,,,,,,,,,,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,ATL,1987-12-20,36,17,216,7,13,1,1,Sun,14,15,@,SFO,L 7-35,13,36,23,36.1,165,0,4,0,11.1,14.1,3,21,7.69,4.6,4.23,-0.42,-0.38,12.7,17,51,3,0,216,56,3.86,79,5.84,4,24:26:00,,7,63,7,55,14,118,13,,,,,,,,,,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,ATL,1987-12-13,33,15,269,3,13,0,0,Sun,13,14,@,RAM,L 0-33,17,33,16,51.5,210,0,2,0,6.1,48.2,2,15,5.71,6.4,6,3.64,3.43,12.4,15,59,3.9,0,269,50,5.38,75,6.59,2,19:39,,3,25,6,40,9,65,13,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,ATL,1987-12-06,30,32,364,5,18,3,0,Sun,12,13,@,DAL,W 21-10,17,30,13,56.7,253,1,2,3.3,6.7,67.8,0,0,0,8.4,8.43,6.1,6.1,14.9,32,111,3.5,1,364,62,5.87,73,4.85,4,29:30:00,,5,68,3,42,8,110,18,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,ATL,1987-11-29,39,27,267,1,18,3,0,Sun,11,12,,STL,L 21-34,15,39,24,38.5,147,2,1,5.1,2.6,59.9,3,34,7.14,3.8,3.5,3.64,3.38,9.8,27,120,4.4,1,267,69,3.87,76,6.26,4,25:16:00,,1,15,9,68,10,83,18,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1987-11-22,35,25,290,3,16,2,0,Sun,10,11,@,MIN,L 13-24,19,35,16,54.3,194,1,1,2.9,2.9,70.2,3,18,7.89,5.5,5.11,4.83,4.45,10.2,25,96,3.8,1,290,63,4.6,69,4.38,1,29:42:00,,3,20,7,45,10,65,16,,,,,,,,,,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,ATL,1987-11-15,22,25,266,6,13,1,0,Sun,9,10,,CIN,L 10-16,13,22,9,59.1,147,1,1,4.5,4.5,79.4,3,21,12,6.7,5.88,5.55,4.88,11.3,25,119,4.8,0,266,50,5.32,81,5.14,2,24:52:00,,6,50,4,27,10,77,13,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1987-11-08,22,23,243,16,13,0,0,Sun,8,9,@,CLE,L 3-38,15,22,7,68.2,126,0,1,0,4.5,72,7,43,24.14,5.7,4.34,3.68,2.79,8.4,23,117,5.1,0,243,52,4.67,64,5.7,2,31:36:00,,16,90,6,47,22,137,13,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1987-11-01,29,16,183,6,12,0,0,Sun,7,8,,NOR,L 0-38,14,29,15,48.3,128,0,5,0,17.2,25.1,4,28,12.12,4.4,3.88,-3.34,-2.94,9.1,16,55,3.4,0,183,49,3.73,69,5.94,5,22:23,,6,51,8,73,14,124,12,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1987-10-25,26,26,304,5,14,3,0,Sun,6,7,@,HOU,L 33-37,14,26,12,53.8,183,3,1,11.5,3.8,99.4,1,4,3.7,7,6.78,7.62,7.33,13.1,26,121,4.7,0,304,53,5.74,79,5.56,5,24:19:00,,5,42,6,46,11,88,14,,,,,,,,,,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1987-10-18,46,19,342,10,22,3,0,Sun,5,6,,RAM,W 24-20,27,46,19,58.7,296,3,2,6.5,4.3,85,5,39,9.8,6.4,5.8,5.78,5.22,11,19,46,2.4,0,342,70,4.89,67,5.22,5,31:35:00,,10,99,7,63,17,162,22,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1987-10-11,46,20,238,7,20,2,0,Sun,4,5,,SFO,L 17-25,18,46,28,39.1,188,1,2,2.2,4.3,45.3,6,49,11.54,4.1,3.62,2.57,2.27,10.4,20,50,2.5,1,238,72,3.31,64,5.64,2,27:43:00,,7,50,10,79,17,129,20,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ATL,1987-10-04,34,21,215,7,13,1,0,Sun,3,4,,PIT,L 12-28,18,34,16,52.9,148,1,3,2.9,8.8,39,2,13,5.56,4.4,4.11,0.97,0.92,8.2,21,67,3.2,0,215,57,3.77,68,5.31,4,26:36:00,,7,54,4,25,11,79,13,,,,,,,,,,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
14,ATL,1987-09-20,34,29,394,8,18,3,0,Sun,2,2,,WAS,W 21-20,17,34,17,50,269,2,1,5.9,2.9,84.3,1,2,2.86,7.9,7.69,7.76,7.54,15.8,29,125,4.3,1,394,64,6.16,63,5.32,1,26:58:00,,8,60,5,54,13,114,18,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ATL,1987-09-13,33,16,197,8,13,1,0,Sun,1,1,@,TAM,L 10-48,14,33,19,42.4,134,1,2,3,6.1,43.9,4,37,10.81,4.1,3.62,1.94,1.73,9.6,16,63,3.9,0,197,53,3.72,75,6.13,3,21:48,,8,50,6,35,14,85,13,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BUF,1987-12-27,39,14,191,5,14,1,0,Sun,15,16,@,PHI,L 7-17,20,39,19,51.3,134,1,2,2.6,5.1,48.5,2,20,4.88,3.4,3.27,1.64,1.56,6.7,14,57,4.1,0,191,55,3.47,78,4.41,4,19:28,,5,40,7,65,12,105,14,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BUF,1987-12-20,31,24,148,5,12,1,0,Sun,14,15,,NWE,L 7-13,13,31,18,41.9,64,0,1,0,3.2,40.4,5,61,13.89,2.1,1.78,0.61,0.53,4.9,24,84,3.5,0,148,60,2.47,62,3.79,2,24:13:00,,5,25,2,10,7,35,12,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18,BUF,1987-12-13,35,49,385,5,25,3,0,Sun,13,14,@,IND,W 27-3,18,35,17,51.4,167,2,0,5.7,0,83.9,0,0,0,4.8,4.77,5.91,5.91,9.3,49,218,4.4,0,385,84,4.58,49,2.65,4,39:08:00,,5,45,4,25,9,70,25,,,,,,,,,,3,3,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0
19,BUF,1987-12-06,36,21,387,4,19,3,0,Sun,12,13,@,RAI,L 21-34,22,36,14,61.1,303,1,0,2.8,0,98.7,2,12,5.26,8.4,7.97,8.97,8.5,13.8,21,84,4,2,387,59,6.56,74,6.68,1,25:12:00,,4,25,2,25,6,50,19,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BUF,1987-11-29,21,47,446,8,21,3,0,Sun,11,12,,MIA,W 27-0,15,21,6,71.4,217,2,0,9.5,0,136.4,0,0,0,10.3,10.33,12.24,12.24,14.5,47,229,4.9,1,446,68,6.56,59,3.88,0,35:58:00,,8,65,4,30,12,95,21,,,,,,,,,,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BUF,1987-11-22,33,31,331,2,15,2,0,Sun,10,11,@,NYJ,W 17-14,21,33,12,63.6,204,1,1,3,3,79.6,2,10,5.71,6.2,5.83,5.42,5.11,9.7,31,127,4.1,1,331,66,5.02,75,4.24,1,29:32:00,,2,15,6,38,8,53,15,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BUF,1987-11-15,35,20,267,6,17,3,0,Sun,9,10,@,CLE,L 21-27,22,35,13,62.9,206,2,0,5.7,0,99.9,3,16,7.89,5.9,5.42,7.03,6.47,9.4,20,61,3.1,0,267,58,4.6,67,6.28,2,24:19:00,,6,70,10,90,16,160,17,,,,,,,,,,3,3,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1
23,BUF,1987-11-08,24,58,428,6,25,2,0,Sun,8,9,,DEN,W 21-14,15,24,9,62.5,170,1,1,4.2,4.2,80.2,0,0,0,7.1,7.08,6.04,6.04,11.3,58,258,4.4,1,428,82,5.22,55,3.91,3,37:37:00,,6,47,7,45,13,92,25,,,,,,,,,,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
24,BUF,1987-11-01,43,10,280,7,14,1,0,Sun,7,8,,WAS,L 7-27,25,43,18,58.1,259,1,3,2.3,7,57.5,3,33,6.52,6,5.63,3.35,3.13,10.4,10,21,2.1,0,280,56,5,73,5.56,4,19:02,,7,55,6,45,13,100,14,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BUF,1987-10-25,39,39,474,8,29,4,0,Sun,6,7,@,MIA,W 34-31 (OT),29,39,10,74.4,330,2,0,5.1,0,119.5,3,29,7.14,8.5,7.86,9.49,8.81,11.4,39,144,3.7,2,474,81,5.85,57,6.42,0,37:25:00,,8,55,6,40,14,95,29,,,,,,,,,,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BUF,1987-10-18,39,40,331,11,22,0,0,Sun,5,6,,NYG,W 6-3 (OT),20,39,19,51.3,164,0,3,0,7.7,32.1,2,17,4.88,4.2,4,0.74,0.71,8.2,40,167,4.2,0,331,81,4.09,85,3.62,7,41:26:00,,11,113,15,145,26,258,22,,,,,,,,,,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BUF,1987-10-11,21,37,168,5,14,1,0,Sun,4,5,@,NWE,L 7-14,9,21,12,42.9,61,1,2,4.8,9.5,30.8,2,23,8.7,2.9,2.65,-0.43,-0.39,6.8,37,107,2.9,0,168,60,2.8,68,3.76,5,25:40:00,,5,40,3,26,8,66,14,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BUF,1987-10-04,35,28,163,10,14,1,0,Sun,3,4,,IND,L 6-47,12,35,23,34.3,82,1,3,2.9,8.6,22.1,6,66,14.63,2.3,2,-0.94,-0.8,6.8,28,81,2.9,0,163,69,2.36,72,6.43,7,28:16:00,,10,70,5,30,15,100,14,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BUF,1987-09-20,43,31,383,6,30,4,0,Sun,2,2,,HOU,W 34-30,26,43,17,60.5,248,3,2,7,4.7,84.7,5,45,10.42,5.8,5.17,5.07,4.54,9.5,31,135,4.4,1,383,79,4.85,65,5.03,2,29:58:00,,6,50,11,123,17,173,30,,,,,,,,,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,BUF,1987-09-13,42,16,359,5,23,4,0,Sun,1,1,,NYJ,L 28-31,25,42,17,59.5,292,3,1,7.1,2.4,95.8,2,13,4.55,7,6.64,7.31,6.98,11.7,16,67,4.2,1,359,60,5.98,83,4.75,1,21:57,,5,42,15,103,20,145,23,,,,,,,,,,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,Rushing,,,,Tot. Off.,,,,,,,,Penalties,,,,,,First Downs,,,,Downs,,,,,,,PAT,,FG,,,,,,,,,,,,,,
Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
31,CHI,1988-01-10,29,30,280,5,15,2,0,Sun,1,18,,WAS,L 17-21,15,29,14,51.7,170,1,3,3.4,10.3,45.4,5,27,14.71,5.9,5,1.9,1.62,11.3,30,110,3.7,1,280,64,4.38,59,4.61,3,32:57:00,,5,50,3,20,8,70,15,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,CHI,1987-12-27,28,35,267,5,18,0,0,Sun,15,16,@,RAI,W 6-3,12,28,16,42.9,146,0,1,0,3.6,44.6,1,0,3.45,5.2,5.03,3.61,3.48,12.2,35,121,3.5,0,267,64,4.17,61,3.16,3,31:12:00,,5,30,4,41,9,71,18,,,,,,,,,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CHI,1987-12-20,36,36,437,7,31,3,0,Sun,14,15,,SEA,L 21-34,21,36,15,58.3,276,1,2,2.8,5.6,71.3,4,22,10,7.7,6.9,5.72,5.15,13.1,36,161,4.5,2,437,76,5.75,58,5.17,5,33:31:00,,7,56,7,81,14,137,31,,,,,,,,,,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,CHI,1987-12-14,36,25,263,11,16,0,0,Mon,13,14,@,SFO,L 0-41,19,36,17,52.8,154,0,4,0,11.1,27.8,3,30,7.69,4.3,3.95,-0.72,-0.67,8.1,25,109,4.4,0,263,64,4.11,70,4.73,6,30:14:00,,11,93,6,60,17,153,16,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,CHI,1987-12-06,34,32,423,6,26,3,0,Sun,12,13,@,MIN,W 30-24,17,34,17,50,264,3,1,8.8,2.9,95.5,3,18,8.11,7.8,7.14,8.21,7.54,15.5,32,159,5,0,423,69,6.13,71,5.01,3,32:51:00,,6,45,7,91,13,136,26,,,,,,,,,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
