Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1985-12-22,27,50,432,7,22,1,0,Sun,16,16,@,NOR,W 16-10,17,27,10,63,189,0,0,0,0,85.3,1,10,3.57,7,6.75,7,6.75,11.1,50,243,4.9,1,432,78,5.54,51,4.82,0,41:15:00,,7,72,4,35,11,107,22,,,,,,,,,,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1985-12-15,22,36,274,10,15,2,0,Sun,15,15,,MIN,W 14-13,14,22,8,63.6,190,1,0,4.5,0,110.6,3,23,12,8.6,7.6,9.55,8.4,13.6,36,84,2.3,1,274,61,4.49,69,5.46,1,34:19:00,,10,90,3,15,13,105,15,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1985-12-08,28,32,354,9,21,1,0,Sun,14,14,@,KAN,L 10-38,16,28,12,57.1,93,0,3,0,10.7,31.8,7,53,20,3.3,2.66,-1.5,-1.2,5.8,32,261,8.2,1,354,67,5.28,59,6.25,3,30:35:00,,9,121,7,50,16,171,21,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ATL,1985-12-01,28,33,365,6,16,3,0,Sun,13,13,,RAI,L 24-34,11,28,17,39.3,235,2,2,7.1,7.1,68,5,28,15.15,8.4,7.12,6.61,5.61,21.4,33,130,3.9,1,365,66,5.53,68,5.71,3,30:02:00,,6,37,5,35,11,72,16,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1985-11-24,17,37,119,9,10,0,0,Sun,12,12,@,CHI,L 0-36,3,17,14,17.6,-22,0,2,0,11.8,0,5,38,22.73,-1.3,-1,-6.59,-5.09,-7.3,37,141,3.8,0,119,59,2.02,68,5.57,3,27:08:00,,9,82,5,45,14,127,10,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1985-11-17,30,53,290,5,22,3,0,Sun,11,11,,RAM,W 30-14,15,30,15,50,132,0,0,0,0,65.7,3,26,9.09,4.4,4,4.4,4,8.8,53,158,3,3,290,86,3.37,42,4.21,1,43:21:00,,5,68,4,30,9,98,22,,,,,,,,,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1985-11-10,25,41,310,7,20,2,0,Sun,10,10,@,PHI,L 17-23 (OT),12,25,13,48,94,1,2,4,8,44.2,6,39,19.35,3.8,3.03,0.96,0.77,7.8,41,216,5.3,1,310,72,4.31,59,5.59,2,35:35:00,,7,50,4,23,11,73,20,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1985-11-03,29,30,298,8,14,1,0,Sun,9,9,,WAS,L 10-44,13,29,16,44.8,129,1,1,3.4,3.4,60.6,6,38,17.14,4.4,3.69,3.59,2.97,9.9,30,169,5.6,0,298,65,4.58,64,7.2,1,30:31:00,,8,52,1,5,9,57,14,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1985-10-27,27,33,253,10,18,1,0,Sun,8,8,@,DAL,L 10-24,12,27,15,44.4,91,1,4,3.7,14.8,31.2,5,34,15.63,3.4,2.84,-2.56,-2.16,7.6,33,162,4.9,0,253,65,3.89,70,6.59,4,31:17:00,,10,115,7,60,17,175,18,,,,,,,,,,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1985-10-20,30,36,377,12,23,4,1,Sun,7,7,,NOR,W 31-24,20,30,10,66.7,248,0,3,0,10,52.8,1,2,3.23,8.3,8,3.77,3.65,12.4,36,129,3.6,2,377,67,5.63,65,5.62,4,35:49:00,,12,82,9,83,21,165,23,,,,,,,,,,4,4,4,1,1,0,0,0,1,0,0,1,0,2,0,0,0,1
11,ATL,1985-10-13,27,35,350,8,20,2,0,Sun,6,6,@,SEA,L 26-30,14,27,13,51.9,187,2,1,7.4,3.7,86.8,2,22,6.9,6.9,6.45,6.74,6.28,13.4,35,163,4.7,0,350,64,5.47,71,5.93,1,34:07:00,,8,70,9,83,17,153,20,,,,,,,,,,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1985-10-06,45,18,386,6,22,2,0,Sun,5,5,,SFO,L 17-38,31,45,14,68.9,271,0,0,0,0,90.5,7,64,13.46,6,5.21,6.02,5.21,8.7,18,115,6.4,2,386,70,5.51,77,6.48,2,30:55:00,,6,45,8,60,14,105,22,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ATL,1985-09-29,34,29,258,6,18,0,0,Sun,4,4,@,RAM,L 6-17,18,34,16,52.9,154,0,1,0,2.9,56.1,3,27,8.11,4.5,4.16,3.21,2.95,8.6,29,104,3.6,0,258,66,3.91,53,5.34,1,31:46:00,,6,40,6,39,12,79,18,,,,,,,,,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ATL,1985-09-22,32,27,341,6,16,4,0,Sun,3,3,,DEN,L 28-44,19,32,13,59.4,233,2,1,6.3,3.1,94.7,4,38,11.11,7.3,6.47,7.13,6.33,12.3,27,108,4,1,341,63,5.41,79,5.42,2,28:19:00,,6,103,7,41,13,144,16,,,,,,,,,,4,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15,ATL,1985-09-15,38,30,253,9,18,1,0,Sun,2,2,@,SFO,L 16-35,23,38,15,60.5,130,1,0,2.6,0,81,6,50,13.64,3.4,2.95,3.95,3.41,5.7,30,123,4.1,0,253,74,3.42,59,6.44,1,33:24:00,,9,78,7,50,16,128,18,,,,,,,,,,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ATL,1985-09-08,23,40,300,8,21,3,0,Sun,1,1,,DET,L 27-28,16,23,7,69.6,140,2,0,8.7,0,121.5,5,39,17.86,6.1,5,7.83,6.43,8.8,40,160,4,1,300,68,4.41,60,4.77,1,33:33:00,,8,44,11,84,19,128,21,,,,,,,,,,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BUF,1985-12-22,24,26,299,19,11,0,0,Sun,16,16,@,MIA,L 0-28,10,24,14,41.7,188,0,3,0,12.5,29.9,0,0,0,7.8,7.83,2.21,2.21,18.8,26,111,4.3,0,299,50,5.98,63,4.89,6,26:01:00,,19,123,7,47,26,170,11,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BUF,1985-12-15,20,35,323,8,14,3,0,Sun,15,15,@,PIT,L 24-30,10,20,10,50,134,1,2,5,10,54.6,2,28,9.09,6.7,6.09,3.2,2.91,13.4,35,189,5.4,1,323,57,5.67,85,5.11,5,27:12:00,,8,60,5,45,13,105,14,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
19,BUF,1985-12-08,40,23,436,7,22,1,0,Sun,14,14,,NYJ,L 7-27,23,40,17,57.5,350,0,2,0,5,68.3,3,26,6.98,8.8,8.14,6.5,6.05,15.2,23,86,3.7,1,436,66,6.61,77,6.3,4,30:26:00,,7,69,7,58,14,127,22,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BUF,1985-12-01,36,28,347,4,21,1,0,Sun,13,13,@,SDG,L 7-40,18,36,18,50,238,0,4,0,11.1,35.5,4,33,10,6.6,5.95,1.61,1.45,13.2,28,109,3.9,1,347,68,5.1,69,5.29,5,29:44:00,,4,45,4,40,8,85,21,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,BUF,1985-11-24,28,19,255,6,12,2,0,Sun,12,12,,MIA,L 14-23,15,28,13,53.6,161,2,0,7.1,0,99.7,3,35,9.68,5.8,5.19,7.18,6.48,10.7,19,94,4.9,0,255,50,5.1,73,5.32,1,24:48:00,,6,30,5,41,11,71,12,,,,,,,,,,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BUF,1985-11-17,30,22,217,6,13,1,0,Sun,11,11,@,CLE,L 7-17,15,30,15,50,162,0,2,0,6.7,40.6,1,15,3.23,5.4,5.23,2.4,2.32,10.8,22,55,2.5,1,217,53,4.09,64,4.59,3,27:06:00,,6,44,9,62,15,106,13,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BUF,1985-11-10,22,43,207,8,18,2,0,Sun,10,10,,HOU,W 20-0,11,22,11,50,60,0,0,0,0,66.7,8,61,26.67,2.7,2,2.73,2,5.5,43,147,3.4,2,207,73,2.84,47,3.02,2,39:04:00,,8,46,11,74,19,120,18,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BUF,1985-11-03,34,20,268,5,16,2,0,Sun,9,9,,CIN,L 17-23,12,34,22,35.3,173,1,2,2.9,5.9,40.9,3,24,8.11,5.1,4.68,3.03,2.78,14.4,20,95,4.8,1,268,57,4.7,76,5.12,3,19:23,,5,30,4,28,9,58,16,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BUF,1985-10-27,36,29,339,9,17,2,0,Sun,8,8,@,PHI,L 17-21,22,36,14,61.1,211,1,2,2.8,5.6,64.5,1,8,2.7,5.9,5.7,3.92,3.81,9.6,29,128,4.4,1,339,66,5.14,59,4.66,2,33:17:00,,9,61,4,30,13,91,17,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,BUF,1985-10-20,20,35,182,6,13,3,0,Sun,7,7,,IND,W 21-9,8,20,12,40,61,1,1,5,5,49,3,24,13.04,3.1,2.65,1.8,1.57,7.6,35,121,3.5,2,182,58,3.14,62,3.08,3,27:18:00,,6,60,6,50,12,110,13,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BUF,1985-10-13,31,23,162,8,13,0,0,Sun,6,6,@,NWE,L 3-14,12,31,19,38.7,90,0,2,0,6.5,22.8,4,24,11.43,2.9,2.57,0,0,7.5,23,72,3.1,0,162,58,2.79,64,6.25,4,27:44:00,,8,76,9,87,17,163,13,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,BUF,1985-10-06,35,19,252,8,15,2,0,Sun,5,5,@,IND,L 17-49,14,35,21,40,184,1,2,2.9,5.7,45.2,2,18,5.41,5.3,4.97,3.26,3.08,13.1,19,68,3.6,1,252,56,4.5,74,6.27,3,23:52,,8,54,7,60,15,114,15,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,BUF,1985-09-29,33,31,277,7,20,2,0,Sun,4,4,,MIN,L 20-27,18,33,15,54.5,162,0,2,0,6.1,44.1,3,11,8.33,4.9,4.5,2.18,2,9,31,115,3.7,2,277,67,4.13,61,5.54,2,31:58:00,,7,55,11,78,18,133,20,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,BUF,1985-09-22,39,20,306,10,16,2,0,Sun,3,3,,NWE,L 14-17,23,39,16,59,251,2,1,5.1,2.6,84.5,0,0,0,6.4,6.44,6.31,6.31,10.9,20,55,2.8,0,306,59,5.19,62,3.66,1,28:54:00,,10,80,4,34,14,114,16,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,Rushing,,,,Tot. Off.,,,,,,,,Penalties,,,,,,First Downs,,,,Downs,,,,,,,PAT,,FG,,,,,,,,,,,,,,
