Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2021-09-12,32,33,416,8,22,5,0,Sun,1,1,@,TEN,W 38-13,21,32,11,65.6,280,4,1,12.5,3.1,121,2,9,5.88,8.8,8.24,9.84,9.26,13.3,33,136,4.1,1,416,67,6.21,64,3.88,1,33:21:00,3:12,8,59,7,57,15,116,22,7,13,2,13,7,53.8,0,0,,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARI,2021-09-19,36,21,474,5,21,4,0,Sun,2,2,,MIN,W 34-33,29,36,7,80.6,371,3,2,8.3,5.6,117.6,3,29,7.69,10.3,9.51,9.47,8.74,12.8,21,103,4.9,1,474,60,7.9,60,6.98,2,31:52:00,3:13,5,40,3,16,8,56,21,5,16,0,9,3,33.3,1,1,100,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
3,ARI,2021-09-26,34,30,407,7,23,4,0,Sun,3,3,@,JAX,W 31-19,28,34,6,82.4,316,0,1,0,2.9,93.1,0,0,0,9.3,9.29,7.97,7.97,11.3,30,91,3,3,407,64,6.36,66,5.47,1,32:54:00,3:03,7,58,4,40,11,98,23,8,14,1,9,1,11.1,2,2,100,4,4,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
4,ARI,2021-10-03,32,40,465,7,27,4,0,Sun,4,4,@,LAR,W 37-20,24,32,8,75,249,2,0,6.3,0,120.3,3,19,8.57,7.8,7.11,9.03,8.26,10.4,40,216,5.4,2,465,75,6.2,64,6.27,0,35:10:00,3:05,7,63,5,36,12,99,27,15,11,1,13,8,61.5,0,0,,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,2021-10-10,31,27,304,6,20,2,0,Sun,5,5,,SFO,W 17-10,22,31,9,71,210,1,0,3.2,0,104.1,2,29,6.06,6.8,6.36,7.42,6.97,9.5,27,94,3.5,1,304,60,5.07,59,5.73,1,28:06:00,3:03,6,62,7,60,13,122,20,8,11,1,10,3,30,0,0,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2021-10-17,30,37,352,5,24,4,0,Sun,6,6,@,CLE,W 37-14,20,30,10,66.7,208,4,0,13.3,0,129,2,21,6.25,6.9,6.5,9.6,9,10.4,37,144,3.9,0,352,69,5.1,55,5.27,0,34:39:00,2:57,5,45,9,88,14,133,24,8,11,5,15,8,53.3,1,1,100,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2021-10-24,28,37,397,7,24,4,0,Sun,7,7,,HOU,W 31-5,20,28,8,71.4,225,3,1,10.7,3.6,121.3,4,36,12.5,8,7.03,8.57,7.5,11.3,37,172,4.6,1,397,69,5.75,49,3.27,1,34:03:00,2:59,7,54,8,80,15,134,24,7,15,2,12,6,50,1,1,100,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2021-10-28,33,20,334,7,22,3,0,Thu,8,8,,GNB,L 21-24,22,33,11,66.7,260,0,2,0,6.1,67,2,14,5.71,7.9,7.43,5.15,4.86,11.8,20,74,3.7,3,334,55,6.07,72,4.65,3,22:25,3:12,7,59,7,60,14,119,22,7,12,3,10,4,40,2,2,100,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2021-11-07,27,39,437,9,22,4,0,Sun,9,9,@,SFO,W 31-17,23,27,4,85.2,274,1,0,3.7,0,122.5,2,8,6.9,10.1,9.45,10.89,10.14,11.9,39,163,4.2,3,437,68,6.43,56,6.02,0,36:47:00,3:00,9,84,3,35,12,119,22,9,11,2,15,7,46.7,2,1,50,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2021-11-14,29,20,169,4,11,1,0,Sun,10,10,,CAR,L 10-34,17,29,12,58.6,104,0,1,0,3.4,57.1,4,39,12.12,3.6,3.15,2.03,1.79,6.1,20,65,3.3,1,169,53,3.19,70,4.87,2,22:18,3:02,4,58,9,115,13,173,11,3,6,2,13,4,30.8,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
