Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2022-09-11,38,22,282,5,18,3,0,Sun,1,1,,KAN,L 21-44,24,38,14,63.2,179,2,0,5.3,0,94.7,3,26,7.32,4.7,4.37,5.76,5.34,7.5,22,103,4.7,1,282,63,4.48,66,7.39,0,25:18:00,3:00,5,49,3,25,8,74,18,6,12,0,12,3,25,4,3,75,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2,ARI,2022-09-18,49,28,413,12,28,4,0,Sun,2,2,@,LVR,W 29-23 (OT),31,49,18,63.3,270,1,1,2,2,76.7,1,7,2,5.5,5.4,5,4.9,8.7,28,143,5.1,2,413,78,5.29,61,5.31,1,36:22:00,3:31,12,120,10,68,22,188,28,11,13,4,13,3,23.1,5,3,60,4,1,1,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0
3,ARI,2022-09-25,58,21,365,6,23,0,0,Sun,3,3,,LAR,L 12-20,37,58,21,63.8,295,0,0,0,0,77.8,2,19,3.33,5.1,4.92,5.09,4.92,8,21,70,3.3,0,365,81,4.51,46,7.37,0,33:56:00,3:01,6,50,6,35,12,85,23,8,15,0,18,6,33.3,5,4,80,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2022-10-02,32,37,338,7,20,3,0,Sun,4,4,@,CAR,W 26-16,23,32,9,71.9,206,2,1,6.3,3.1,96.7,1,1,3.03,6.4,6.24,6.28,6.09,9,37,132,3.6,1,338,70,4.83,51,4.31,1,38:35:00,3:07,7,61,6,76,13,137,20,8,10,2,15,6,40,2,0,0,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0
5,ARI,2022-10-09,42,26,363,2,23,2,0,Sun,5,5,,PHI,L 17-20,28,42,14,66.7,239,1,1,2.4,2.4,80.5,1,11,2.33,5.7,5.56,5.1,4.98,8.5,26,124,4.8,1,363,69,5.26,71,5.03,1,25:21:00,2:53,2,15,3,30,5,45,23,7,16,0,14,8,57.1,1,1,100,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2022-10-16,37,28,315,6,15,1,0,Sun,6,6,@,SEA,L 9-19,23,37,14,62.2,171,0,1,0,2.7,67.6,6,51,13.95,4.6,3.98,3.41,2.93,7.4,28,144,5.1,0,315,71,4.44,66,4.48,2,30:44:00,3:08,6,53,6,44,12,97,15,5,10,0,16,4,25,5,1,20,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
7,ARI,2022-10-20,29,29,326,4,21,5,0,Thu,7,7,,NOR,W 42-34,20,29,9,69,189,1,0,3.4,0,100.4,2,15,6.45,6.5,6.1,7.21,6.74,9.5,29,137,4.7,2,326,60,5.43,71,6.96,0,30:58:00,3:17,4,20,8,49,12,69,21,9,9,3,10,3,30,1,1,100,5,3,2,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0
8,ARI,2022-10-30,44,22,375,10,25,3,0,Sun,8,8,@,MIN,L 26-34,31,44,13,70.5,297,3,2,6.8,4.5,95.5,4,29,8.33,6.8,6.19,6.07,5.56,9.6,22,78,3.5,0,375,70,5.36,68,5.6,3,30:33:00,3:26,10,67,10,86,20,153,25,5,17,3,11,4,36.4,1,0,0,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2022-11-06,35,21,262,12,15,3,0,Sun,9,9,,SEA,L 21-31,25,35,10,71.4,140,2,0,5.7,0,101.5,5,35,12.5,4,3.5,5.14,4.5,5.6,21,122,5.8,0,262,61,4.3,70,6.01,1,25:29:00,3:04,12,77,6,34,18,111,15,5,8,2,14,6,42.9,2,0,0,3,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,ARI,2022-11-13,37,26,298,10,18,3,0,Sun,10,10,@,LAR,W 27-17,26,37,11,70.3,220,1,0,2.7,0,96.5,2,18,5.13,5.9,5.64,6.49,6.15,8.5,26,78,3,2,298,65,4.58,60,4.27,0,32:01:00,3:00,10,67,5,29,15,96,18,6,11,1,15,5,33.3,3,3,100,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,2022-11-21,44,24,314,5,19,1,0,Mon,11,11,,SFO,L 10-38,30,44,14,68.2,247,0,2,0,4.5,66.2,3,30,6.38,5.6,5.26,3.57,3.34,8.2,24,67,2.8,1,314,71,4.42,57,6.79,2,30:51:00,2:59,5,50,3,30,8,80,19,6,12,1,16,8,50,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2022-11-27,29,34,366,3,20,3,0,Sun,12,12,,LAC,L 24-25,18,29,11,62.1,185,2,1,6.9,3.4,89.9,1,6,3.33,6.4,6.17,6.21,6,10.3,34,181,5.3,1,366,64,5.72,64,4.86,2,30:35:00,3:08,3,19,4,30,7,49,20,9,10,1,13,7,53.8,1,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ARI,2022-12-12,41,22,323,8,19,1,0,Mon,13,14,,NWE,L 13-27,28,41,13,68.3,210,0,1,0,2.4,74.7,6,45,12.77,5.1,4.47,4.02,3.51,7.5,22,113,5.1,1,323,69,4.68,57,5.75,2,33:31:00,3:14,8,48,8,80,16,128,19,5,11,3,14,4,28.6,5,1,20,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
