Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,1996-12-22,41,16,229,10,15,2,0,Sun,16,17,@,PHI,L 19-29,16,41,25,39,158,1,1,2.4,2.4,51.3,4,26,8.89,3.9,3.51,3.24,2.96,9.9,16,71,4.4,0,229,61,3.75,72,4.76,2,21:20,,10,67,7,67,17,134,15,,,,14,4,28.6,2,1,50,2,2,1,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1
2,ARI,1996-12-15,46,27,299,4,20,2,0,Sun,15,16,,WAS,W 27-26,20,46,26,43.5,221,2,1,4.3,2.2,64.8,1,11,2.13,4.8,4.7,4.7,4.6,11.1,27,78,2.9,0,299,74,4.04,66,4.98,2,32:18:00,,4,28,7,52,11,80,20,,,,20,11,55,0,0,,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,ARI,1996-12-08,36,26,347,7,20,0,0,Sun,14,15,,DAL,L 6-10,18,36,18,50,213,0,2,0,5.6,46.5,2,11,5.26,5.9,5.61,3.42,3.24,11.8,26,134,5.2,0,347,64,5.42,60,5.57,4,29:38:00,,7,50,5,55,12,105,20,,,,12,5,41.7,1,1,100,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,1996-12-01,40,12,280,10,18,2,0,Sun,13,14,@,MIN,L 17-41,26,40,14,65,245,1,2,2.5,5,71.9,3,25,6.98,6.1,5.7,4.38,4.07,9.4,12,35,2.9,1,280,55,5.09,75,5.49,3,22:14,,10,77,3,10,13,87,18,,,,11,4,36.4,2,1,50,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,1996-11-24,43,29,447,3,27,4,0,Sun,12,13,,PHI,W 36-30,24,43,19,55.8,340,3,0,7,0,107.4,3,27,6.52,7.9,7.39,9.3,8.7,14.2,29,107,3.7,1,447,75,5.96,68,5.28,1,30:53:00,,3,25,11,105,14,130,27,,,,13,6,46.2,0,0,,4,4,3,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0
6,ARI,1996-11-17,27,34,347,9,20,4,0,Sun,11,12,,NYG,W 31-23,18,27,9,66.7,250,2,1,7.4,3.7,107,2,10,6.9,9.3,8.62,9.07,8.45,13.9,34,97,2.9,2,347,63,5.51,73,4.53,3,29:05:00,,9,54,4,19,13,73,20,,,,13,8,61.5,0,0,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,1996-11-10,59,33,615,9,32,4,0,Sun,10,11,@,WAS,W 37-34 (OT),35,59,24,59.3,507,3,4,5.1,6.8,77.1,2,15,3.28,8.6,8.31,6.56,6.34,14.5,33,108,3.3,1,615,94,6.54,75,5.55,5,42:23:00,,9,100,8,49,17,149,32,,,,20,11,55,0,0,,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,1996-11-03,43,18,245,4,14,1,0,Sun,9,10,@,NYG,L 8-16,22,43,21,51.2,216,1,2,2.3,4.7,54.9,2,9,4.44,5,4.8,3.4,3.24,9.8,18,29,1.6,0,245,63,3.89,71,3.93,2,24:58:00,,4,34,5,31,9,65,14,,,,14,2,14.3,3,2,66.7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,ARI,1996-10-27,32,21,353,8,19,3,0,Sun,8,9,,NYJ,L 21-31,17,32,15,53.1,246,3,1,9.4,3.1,97.8,1,9,3.03,7.7,7.45,8.16,7.91,14.5,21,107,5.1,0,353,54,6.54,70,6.49,1,22:50,,8,108,8,76,16,184,19,,,,12,6,50,0,0,,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,1996-10-20,26,32,237,2,21,1,0,Sun,7,8,,TAM,W 13-9,17,26,9,65.4,133,1,0,3.8,0,92.8,3,13,10.34,5.1,4.59,5.88,5.28,7.8,32,104,3.3,0,237,61,3.89,62,5.05,0,30:11:00,,2,15,14,114,16,129,21,,,,14,8,57.1,2,1,50,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,1996-10-13,31,22,178,2,13,0,0,Sun,6,7,@,DAL,L 3-17,16,31,15,51.6,120,0,1,0,3.2,50.6,3,21,8.82,3.9,3.53,2.42,2.21,7.5,22,58,2.6,0,178,56,3.18,66,4.91,1,27:05:00,,2,20,3,28,5,48,13,,,,15,5,33.3,1,1,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,1996-09-29,58,27,498,11,27,4,0,Sun,5,5,,STL,W 31-28 (OT),37,58,21,63.8,348,4,0,6.9,0,104.5,4,18,6.45,6,5.61,7.38,6.9,9.4,27,150,5.6,0,498,89,5.6,42,5.29,1,41:48:00,,11,85,8,60,19,145,27,,,,20,9,45,4,3,75,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,ARI,1996-09-22,25,45,432,7,20,3,0,Sun,4,4,@,NOR,W 28-14,11,25,14,44,165,1,0,4,0,79.6,1,0,3.85,6.6,6.35,7.4,7.12,15,45,267,5.9,2,432,71,6.08,63,3.46,2,32:24:00,,7,57,8,41,15,98,20,,,,14,4,28.6,1,0,0,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
14,ARI,1996-09-15,31,16,170,5,9,0,0,Sun,3,3,@,NWE,L 0-31,13,31,18,41.9,124,0,3,0,9.7,15.3,1,9,3.13,4,3.88,-0.35,-0.34,9.5,16,46,2.9,0,170,48,3.54,82,4.68,4,20:39,,5,45,6,45,11,90,9,,,,11,3,27.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,1996-09-08,37,19,203,8,13,1,0,Sun,2,2,,MIA,L 10-38,21,37,16,56.8,176,1,3,2.7,8.1,46,2,14,5.13,4.8,4.51,1.65,1.56,8.4,19,27,1.4,0,203,58,3.5,62,5.34,4,26:46:00,,8,59,4,30,12,89,13,,,,11,3,27.3,1,1,100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ARI,1996-09-01,38,24,310,7,20,1,0,Sun,1,1,@,IND,L 13-20,25,38,13,65.8,226,0,0,0,0,82.9,2,11,5,5.9,5.65,5.95,5.65,9,24,84,3.5,1,310,64,4.84,55,5.67,0,33:15:00,,7,49,3,59,10,108,20,,,,14,6,42.9,0,0,,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ATL,1996-12-22,26,31,309,2,21,2,0,Sun,16,17,@,JAX,L 17-19,17,26,9,65.4,163,1,0,3.8,0,97,1,9,3.7,6.3,6.04,7.04,6.78,9.6,31,146,4.7,1,309,58,5.33,64,5.58,0,29:17:00,,2,10,1,3,3,13,21,,,,12,7,58.3,0,0,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ATL,1996-12-15,49,15,423,5,24,3,0,Sun,15,16,,STL,L 27-34,28,49,21,57.1,360,2,6,4.1,12.2,54.6,3,3,5.77,7.3,6.92,2.65,2.5,12.9,15,63,4.2,1,423,67,6.31,63,7.62,7,27:02:00,,5,55,11,86,16,141,24,,,,10,2,20,2,2,100,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ATL,1996-12-08,29,25,304,9,19,4,0,Sun,14,15,@,NOR,W 31-15,20,29,9,69,182,3,2,10.3,6.9,93.7,2,16,6.45,6.3,5.87,5.24,4.9,9.1,25,122,4.9,1,304,56,5.43,58,4.33,3,30:31:00,,9,70,12,76,21,146,19,,,,10,4,40,0,0,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ATL,1996-12-02,30,15,178,3,9,1,0,Mon,13,14,,SFO,L 10-34,12,30,18,40,117,1,2,3.3,6.7,37.8,4,20,11.76,3.9,3.44,1.57,1.38,9.8,15,61,4.1,0,178,49,3.63,80,5.83,4,19:41,,3,40,9,70,12,110,9,,,,11,1,9.1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ATL,1996-11-24,42,20,417,8,21,4,0,Sun,12,13,@,CIN,L 31-41,24,42,18,57.1,305,3,3,7.1,7.1,74.3,1,3,2.33,7.3,7.09,5.48,5.35,12.7,20,112,5.6,1,417,63,6.62,72,6.43,4,31:03:00,,8,55,4,43,12,98,21,,,,12,6,50,0,0,,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ATL,1996-11-17,39,22,293,7,18,2,0,Sun,11,12,,NOR,W 17-15,26,39,13,66.7,219,2,1,5.1,2.6,88.5,1,10,2.5,5.6,5.48,5.49,5.35,8.4,22,74,3.4,0,293,62,4.73,51,5.29,1,33:24:00,,7,60,5,29,12,89,18,,,,14,7,50,0,0,,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ATL,1996-11-10,38,16,292,6,15,2,0,Sun,10,11,@,STL,L 16-59,22,38,16,57.9,248,2,2,5.3,5.3,75.8,4,24,9.52,6.5,5.9,5.21,4.71,11.3,16,44,2.8,0,292,58,5.03,63,7.37,3,28:35:00,,6,53,5,34,11,87,15,,,,13,6,46.2,0,0,,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
24,ATL,1996-11-03,32,27,313,7,16,2,0,Sun,9,10,,CAR,W 20-17,19,32,13,59.4,189,1,1,3.1,3.1,76.6,4,23,11.11,5.9,5.25,5.13,4.56,9.9,27,124,4.6,1,313,63,4.97,63,5.51,2,32:59:00,,7,56,4,21,11,77,16,,,,15,5,33.3,0,0,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ATL,1996-10-27,36,16,301,6,19,2,0,Sun,8,9,,PIT,L 17-20,24,36,12,66.7,234,2,1,5.6,2.8,91.7,0,0,0,6.5,6.5,6.36,6.36,9.8,16,67,4.2,0,301,52,5.79,61,5.1,1,29:09:00,,6,59,5,50,11,109,19,,,,7,2,28.6,0,0,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ATL,1996-10-20,40,31,369,10,22,2,0,Sun,7,8,@,DAL,L 28-32,25,40,15,62.5,256,1,0,2.5,0,90.8,3,16,6.98,6.4,5.95,6.9,6.42,10.2,31,113,3.6,1,369,74,4.99,42,7.29,0,41:22:00,,10,70,6,70,16,140,22,,,,16,6,37.5,2,1,50,2,1,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
27,ATL,1996-10-13,46,16,323,7,20,2,0,Sun,6,7,,HOU,L 13-23,31,46,15,67.4,268,2,2,4.3,4.3,79.9,1,11,2.13,5.8,5.7,4.74,4.64,8.6,16,55,3.4,0,323,63,5.13,52,6.15,2,29:53:00,,7,50,6,44,13,94,20,,,,13,6,46.2,0,0,,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,ATL,1996-10-06,36,22,281,7,19,3,0,Sun,5,6,@,DET,L 24-28,18,36,18,50,165,0,1,0,2.8,53,3,15,7.69,4.6,4.23,3.33,3.08,9.2,22,116,5.3,3,281,61,4.61,71,5.03,1,27:57:00,,7,75,7,51,14,126,19,,,,13,4,30.8,0,0,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,ATL,1996-09-29,32,24,317,5,18,2,0,Sun,4,5,@,SFO,L 17-39,17,32,15,53.1,191,2,3,6.3,9.4,54.9,2,15,5.88,6,5.62,3,2.82,11.2,24,126,5.3,0,317,58,5.47,59,6.71,4,28:57:00,,5,59,9,68,14,127,18,,,,11,6,54.5,0,0,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,ATL,1996-09-22,49,11,391,11,18,2,0,Sun,3,4,,PHI,L 18-33,33,49,16,67.3,351,2,5,4.1,10.2,63.4,3,15,5.77,7.2,6.75,3.39,3.19,10.6,11,40,3.6,0,391,63,6.21,63,5.05,6,30:16:00,,11,95,5,39,16,134,18,,,,13,4,30.8,2,1,50,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,Rushing,,,,Tot. Off.,,,,,,,,Penalties,,,,,,First Downs,,,,Downs,,,,,,,PAT,,FG,,,,,,,,,,,,,,
Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
31,ATL,1996-09-08,41,19,324,9,21,2,0,Sun,2,2,,MIN,L 17-23,24,41,17,58.5,245,2,1,4.9,2.4,84,3,21,6.82,6,5.57,5.85,5.45,10.2,19,79,4.2,0,324,63,5.14,60,6.08,2,30:49:00,,9,75,10,77,19,152,21,,,,14,6,42.9,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
