Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,1995-12-25,35,19,285,5,12,1,0,Mon,16,17,,DAL,L 13-37,18,35,17,51.4,222,0,2,0,5.7,48.4,3,7,7.89,6.3,5.84,3.77,3.47,12.3,19,63,3.3,0,285,57,5,69,6.87,3,25:17:00,,5,22,3,22,8,44,12,,,,14,4,28.6,1,0,0,1,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0
2,ARI,1995-12-17,38,33,324,7,18,1,0,Sun,15,16,@,PHI,L 20-21,21,38,17,55.3,231,0,2,0,5.3,53.9,3,22,7.32,6.1,5.63,3.71,3.44,11,33,93,2.8,1,324,74,4.38,58,4.72,5,34:58:00,,7,40,7,75,14,115,18,,,,15,3,20,0,0,,1,0,0,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0
3,ARI,1995-12-09,40,15,282,8,13,3,0,Sat,14,15,@,SDG,L 25-28,24,40,16,60,250,2,0,5,0,98.2,5,33,11.11,6.3,5.56,7.25,6.44,10.4,15,32,2.1,0,282,60,4.7,74,5.14,1,26:52:00,,8,70,10,72,18,142,13,,,,14,4,28.6,1,1,100,3,2,2,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0
4,ARI,1995-11-30,39,24,342,8,17,0,0,Thu,13,14,,NYG,L 6-10,23,39,16,59,250,0,2,0,5.1,57,2,4,4.88,6.4,6.1,4.1,3.9,10.9,24,92,3.8,0,342,65,5.26,55,3.62,3,32:46:00,,8,53,3,20,11,73,17,,,,13,6,46.2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,1995-11-26,43,35,513,9,28,4,0,Sun,12,13,,ATL,W 40-37 (OT),27,43,16,62.8,392,4,2,9.3,4.7,106.1,3,21,6.52,9.1,8.52,8.88,8.3,14.5,35,121,3.5,0,513,81,6.33,52,5.65,4,39:33:00,,9,79,5,45,14,124,28,,,,14,5,35.7,1,0,0,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0
6,ARI,1995-11-19,26,12,96,11,7,1,0,Sun,11,12,@,CAR,L 7-27,14,26,12,53.8,62,0,1,0,3.8,47.9,6,44,18.75,2.4,1.94,0.65,0.53,4.4,12,34,2.8,0,96,44,2.18,71,5.21,2,22:15,,11,82,6,48,17,130,7,,,,10,1,10,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,ARI,1995-11-12,38,24,322,1,20,2,0,Sun,10,11,,MIN,L 24-30 (OT),19,38,19,50,204,2,1,5.3,2.6,75.7,3,27,7.32,5.4,4.98,5.24,4.85,10.7,24,118,4.9,0,322,65,4.95,78,5.01,2,28:00:00,,1,5,11,67,12,72,20,,,,14,5,35.7,0,0,,2,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
8,ARI,1995-11-05,32,21,277,8,18,0,0,Sun,9,10,@,DEN,L 6-38,19,32,13,59.4,203,0,0,0,0,83.5,6,42,15.79,6.3,5.34,6.34,5.34,10.7,21,74,3.5,0,277,59,4.69,53,7.66,2,32:11:00,,8,56,6,50,14,106,18,,,,10,3,30,0,0,,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,1995-10-29,45,33,305,9,20,3,0,Sun,8,9,,SEA,W 20-14 (OT),23,45,22,51.1,190,1,2,2.2,4.4,52.1,1,10,2.17,4.2,4.13,2.67,2.61,8.3,33,115,3.5,0,305,79,3.86,73,5.86,4,40:20:00,,9,71,12,74,21,145,20,,,,17,8,47.1,1,0,0,3,2,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0
10,ARI,1995-10-15,33,29,311,6,20,3,0,Sun,7,7,,WAS,W 24-20,22,33,11,66.7,198,1,1,3,3,81.2,2,9,5.71,6,5.66,5.24,4.94,9,29,113,3.9,1,311,64,4.86,49,5.29,2,37:20:00,,6,50,3,25,9,75,20,,,,13,8,61.5,0,0,,3,3,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
11,ARI,1995-10-08,38,30,431,6,29,2,0,Sun,6,6,@,NYG,L 21-27 (OT),23,38,15,60.5,291,2,1,5.3,2.6,92.5,2,14,5,7.7,7.28,7.53,7.15,12.7,30,140,4.7,0,431,70,6.16,60,5.73,3,34:56:00,,6,29,8,64,14,93,29,,,,10,4,40,0,0,,2,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0
12,ARI,1995-10-01,41,20,296,10,16,0,0,Sun,5,5,,KAN,L 3-24,25,41,16,61,240,0,1,0,2.4,74,7,68,14.58,5.9,5,4.76,4.06,9.6,20,56,2.8,0,296,68,4.35,55,5.33,3,31:19:00,,10,79,4,20,14,99,16,,,,17,7,41.2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
