Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,,"Rk,Team,Date,Att,Att,TO,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD"
13,ARI,2023-10-08,32,22,294,2,15,3,0,Sun,5,5,,CIN,L 20-34,15,32,17,46.9,152,2,2,6.3,6.3,57.6,3,14,8.57,4.8,4.34,3.19,2.91,10.1,22,142,6.5,1,294,57,5.16,79,4.81,3,21:50,3:01,2,16,4,40,6,56,15,5,10,0,11,4,36.4,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
14,ARI,2023-10-01,41,25,362,9,23,2,0,Sun,4,4,@,SFO,L 16-35,28,41,13,68.3,257,2,0,4.9,0,102.2,1,8,2.38,6.3,6.12,7.24,7.07,9.2,25,105,4.2,0,362,67,5.4,53,7.45,0,30:46:00,2:51,9,55,4,21,13,76,23,7,13,3,15,8,53.3,3,2,66.7,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
15,ARI,2023-09-24,21,30,400,8,20,3,0,Sun,3,3,,DAL,W 28-16,17,21,4,81,178,1,0,4.8,0,120,2,11,8.7,8.5,7.74,9.43,8.61,10.5,30,222,7.4,2,400,53,7.55,75,5.55,0,25:27:00,2:56,8,69,13,107,21,176,20,8,8,4,10,5,50,0,0,,3,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,
16,ARI,2023-09-17,31,29,379,8,24,3,0,Sun,2,2,,NYG,L 28-31,21,31,10,67.7,228,1,0,3.2,0,99.9,0,0,0,7.4,7.35,8,8,10.9,29,151,5.2,2,379,60,6.32,67,6.55,0,30:37:00,3:11,8,57,9,75,17,132,24,10,11,3,10,4,40,0,0,,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,
17,ARI,2023-09-10,30,25,210,9,13,1,0,Sun,1,1,@,WAS,L 16-20,21,30,9,70,114,0,0,0,0,78.7,3,18,9.09,3.8,3.45,3.8,3.45,5.4,25,96,3.8,0,210,58,3.62,65,3.82,2,28:36:00,3:08,9,122,8,70,17,192,13,4,9,0,14,4,28.6,1,0,0,1,1,1,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,,
18,ATL,2024-01-07,34,25,389,8,14,2,0,Sun,17,18,@,NOR,L 17-48,25,34,9,73.5,311,2,2,5.9,5.9,97.4,1,7,2.86,9.1,8.89,7.68,7.46,12.4,25,78,3.1,0,389,60,6.48,66,6.06,3,26:10:00,3:02,8,75,3,15,11,90,14,3,11,0,11,4,36.4,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,ATL,2023-12-31,33,24,307,1,15,2,0,Sun,16,17,@,CHI,L 17-37,13,33,20,39.4,173,1,4,3,12.1,28.2,2,7,5.71,5.2,4.94,0.39,0.37,13.3,24,134,5.6,1,307,59,5.2,72,6,4,22:46,3:15,1,15,5,55,6,70,15,8,5,2,13,4,30.8,1,0,0,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,ATL,2023-12-24,33,30,406,4,23,2,0,Sun,15,16,,IND,W 29-10,23,33,10,69.7,229,1,0,3,0,99.2,1,0,2.94,6.9,6.74,7.55,7.32,10,30,177,5.9,1,406,64,6.34,68,3.85,0,29:24:00,2:57,4,35,4,29,8,64,23,8,14,1,13,5,38.5,1,1,100,2,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,ATL,2023-12-17,20,31,204,4,12,1,0,Sun,14,15,@,CAR,L 7-9,12,20,8,60,152,1,1,5,5,79.6,0,0,0,7.6,7.6,6.35,6.35,12.7,31,52,1.7,0,204,51,4,63,4.49,2,26:04:00,2:45,4,25,4,35,8,60,12,3,8,1,13,6,46.2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,ATL,2023-12-10,40,26,434,2,23,3,0,Sun,13,14,,TAM,L 25-29,26,40,14,65,338,1,1,2.5,2.5,90.3,3,9,6.98,8.5,7.86,7.83,7.28,13,26,96,3.7,2,434,69,6.29,67,4.33,1,28:20:00,3:02,2,10,4,26,6,36,23,6,15,2,13,5,38.5,1,1,100,3,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,
23,ATL,2023-12-03,27,34,194,6,15,1,0,Sun,12,13,@,NYJ,W 13-8,12,27,15,44.4,104,1,0,3.7,0,70.1,3,17,10,3.9,3.47,4.59,4.13,8.7,34,90,2.6,0,194,64,3.03,67,3.87,0,29:34:00,3:20,6,55,11,71,17,126,15,3,9,3,14,4,28.6,0,0,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,ATL,2023-11-26,21,41,396,5,25,3,0,Sun,11,12,,NOR,W 24-15,13,21,8,61.9,168,1,2,4.8,9.5,63.3,0,0,0,8,8,4.67,4.67,12.9,41,228,5.6,1,396,62,6.39,67,6.63,2,28:26:00,2:53,5,35,6,50,11,85,25,15,9,1,8,4,50,1,0,0,3,3,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,
25,ATL,2023-11-12,21,41,254,4,20,3,0,Sun,10,10,@,ARI,L 23-25,12,21,9,57.1,70,1,0,4.8,0,84.2,3,24,12.5,3.3,2.92,4.29,3.75,5.8,41,184,4.5,2,254,65,3.91,60,5.87,0,31:42:00,3:02,4,43,11,112,15,155,20,11,5,4,14,7,50,2,1,50,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
26,ATL,2023-11-05,38,28,370,8,18,2,0,Sun,9,9,,MIN,L 28-31,21,38,17,55.3,260,1,1,2.6,2.6,75.3,1,8,2.56,6.8,6.67,6.18,6.03,12.4,28,110,3.9,1,370,67,5.52,73,4.97,2,28:28:00,3:15,8,62,1,4,9,66,18,6,12,0,18,10,55.6,0,0,,2,2,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,
