Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARI,2012-01-01,40,31,388,9,20,2,0,Sun,16,17,,SEA,W 23-20 (OT),22,40,18,55,257,1,1,2.5,2.5,74.1,2,14,4.76,6.4,6.12,5.8,5.52,11.7,31,131,4.2,1,388,73,5.32,73,5.05,2,35:19:00,3:30,9,76,7,55,16,131,20,7,11,2,17,7,41.2,1,1,100,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARI,2011-12-24,44,18,316,6,17,2,0,Sat,15,16,@,CIN,L 16-23,23,44,21,52.3,257,2,3,4.5,6.8,60.5,5,40,10.2,5.8,5.24,3.68,3.31,11.2,18,59,3.3,0,316,67,4.72,67,4.49,3,28:21:00,3:04,6,87,6,47,12,134,17,4,12,1,14,4,28.6,2,1,50,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2011-12-18,46,24,363,2,24,2,0,Sun,14,15,,CLE,W 20-17 (OT),28,46,18,60.9,289,1,1,2.2,2.2,79.3,4,24,8,6.3,5.78,5.74,5.28,10.3,24,74,3.1,1,363,74,4.91,62,5.37,1,32:42:00,3:13,2,13,9,74,11,87,24,5,16,3,16,8,50,0,0,,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2011-12-11,29,23,325,4,12,3,0,Sun,13,14,,SFO,W 21-19,20,29,9,69,270,3,2,10.3,6.9,106.1,2,14,6.45,9.3,8.71,8.28,7.74,13.5,23,55,2.4,0,325,54,6.02,63,3.7,3,29:04:00,3:07,4,45,5,35,9,80,12,1,10,1,14,3,21.4,0,0,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,2011-12-04,25,25,327,6,16,2,0,Sun,12,13,,DAL,W 19-13 (OT),16,25,9,64,224,1,0,4,0,109.9,5,23,16.67,9,7.47,9.76,8.13,14,25,103,4.1,1,327,55,5.95,67,5.01,0,29:35:00,3:28,6,41,7,49,13,90,16,5,10,1,13,4,30.8,0,0,,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2011-11-27,23,38,374,4,16,2,0,Sun,11,12,@,STL,W 23-20,12,23,11,52.2,106,0,2,0,8.7,30,3,8,11.54,4.6,4.08,0.7,0.62,8.8,38,268,7.1,1,374,64,5.84,56,4.86,3,33:59:00,3:17,4,30,8,49,12,79,16,11,4,1,12,4,33.3,0,0,,2,2,2,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0
7,ARI,2011-11-20,35,11,229,6,11,1,0,Sun,10,11,@,SFO,L 7-23,14,35,21,40,149,1,3,2.9,8.6,28.6,2,14,5.41,4.3,4.03,0.97,0.92,10.6,11,80,7.3,0,229,48,4.77,87,4.95,5,15:44,3:17,6,75,7,87,13,162,11,1,7,3,9,1,11.1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2011-11-13,40,29,370,7,23,3,0,Sun,9,10,@,PHI,W 21-17,21,40,19,52.5,282,3,2,7.5,5,82.8,4,33,9.09,7.1,6.41,6.3,5.73,13.4,29,88,3,0,370,73,5.07,60,4.82,2,31:42:00,3:21,7,66,11,97,18,163,23,6,15,2,16,6,37.5,1,1,100,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,ARI,2011-11-06,35,17,262,6,16,2,0,Sun,8,9,,STL,W 19-13 (OT),20,35,15,57.1,192,1,0,2.9,0,85.7,3,30,7.89,5.5,5.05,6.06,5.58,9.6,17,70,4.1,0,262,55,4.76,75,5.11,0,24:59:00,3:18,6,45,9,71,15,116,16,5,10,1,10,2,20,0,0,,2,1,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0
