Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1989-12-24,66,21,413,5,27,3,0,Sun,16,16,,DET,L 24-31,37,66,29,56.1,324,2,1,3,1.5,73.7,1,10,1.49,4.9,4.84,4.83,4.76,8.8,21,89,4.2,1,413,88,4.69,59,6.37,1,37:10:00,,5,45,1,15,6,60,27,,,,,,,,,,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1989-12-17,44,9,374,8,15,3,0,Sun,15,15,,WAS,L 30-31,21,44,23,47.7,346,2,2,4.5,4.5,73.2,3,25,6.38,7.9,7.36,6.73,6.3,16.5,9,28,3.1,1,374,56,6.68,78,6.5,2,22:08,,8,81,6,53,14,134,15,,,,,,,,,,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1989-12-10,28,19,255,1,15,2,0,Sun,14,14,@,MIN,L 17-43,15,28,13,53.6,188,2,1,7.1,3.6,89.3,4,38,12.5,6.7,5.88,6.54,5.72,12.5,19,67,3.5,0,255,51,5,67,6.82,3,23:08,,1,10,7,51,8,61,15,,,,,,,,,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
4,ATL,1989-12-03,34,14,263,5,13,1,0,Sun,13,13,,SFO,L 10-23,18,34,16,52.9,226,1,2,2.9,5.9,61.3,2,17,5.56,6.6,6.28,4.59,4.33,12.6,14,37,2.6,0,263,50,5.26,61,6.97,2,25:02:00,,5,40,7,56,12,96,13,,,,,,,,,,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1989-11-26,41,18,213,4,12,1,0,Sun,12,12,@,NYJ,L 7-27,13,41,28,31.7,147,1,1,2.4,2.4,42.5,2,11,4.65,3.6,3.42,2.98,2.84,11.3,18,66,3.7,0,213,61,3.49,78,4.08,1,19:54,,4,51,8,76,12,127,12,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ATL,1989-11-19,38,16,267,8,15,2,0,Sun,11,11,,NOR,L 17-26,18,38,20,47.4,190,2,1,5.3,2.6,73.6,4,42,9.52,5,4.52,4.87,4.4,10.6,16,77,4.8,0,267,58,4.6,65,5.45,1,20:31,,8,82,4,20,12,102,15,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1989-11-12,32,17,192,6,11,0,0,Sun,10,10,@,SFO,L 3-45,17,32,15,53.1,119,0,0,0,0,65.8,3,30,8.57,3.7,3.4,3.72,3.4,7,17,73,4.3,0,192,52,3.69,69,7.46,1,23:57,,6,36,3,24,9,60,11,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,ATL,1989-11-05,23,37,340,6,20,3,0,Sun,9,9,,BUF,W 30-28,10,23,13,43.5,213,1,0,4.3,0,92.7,2,7,8,9.3,8.52,10.13,9.32,21.3,37,127,3.4,2,340,62,5.48,57,5.77,0,29:05:00,,6,44,9,81,15,125,20,,,,,,,,,,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1989-10-29,32,19,148,4,11,1,0,Sun,8,8,@,NOR,L 13-20,15,32,17,46.9,91,1,0,3.1,0,69.1,6,44,15.79,2.8,2.39,3.47,2.92,6.1,19,57,3,0,148,57,2.6,66,5.94,3,24:21:00,,4,22,8,55,12,77,11,,,,,,,,,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1989-10-22,44,20,351,3,22,2,0,Sun,7,7,@,PHO,L 20-34,24,44,20,54.5,240,1,0,2.3,0,78.7,2,9,4.35,5.5,5.22,5.91,5.65,10,20,111,5.6,1,351,66,5.32,64,4.67,2,23:39,,3,30,2,36,5,66,22,,,,,,,,,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1989-10-15,34,21,312,5,14,1,0,Sun,6,6,,NWE,W 16-15,19,34,15,55.9,240,0,1,0,2.9,68.9,4,25,10.53,7.1,6.32,5.74,5.13,12.6,21,72,3.4,1,312,59,5.29,66,3.65,2,27:26:00,,5,35,3,15,8,50,14,,,,,,,,,,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1989-10-08,39,15,353,2,19,2,0,Sun,5,5,@,RAM,L 14-26,28,39,11,71.8,315,1,1,2.6,2.6,96.1,2,25,4.88,8.1,7.68,7.44,7.07,11.3,15,38,2.5,1,353,56,6.3,63,6.95,1,28:10:00,,2,19,4,45,6,64,19,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ATL,1989-10-01,29,23,333,8,17,3,0,Sun,4,4,@,GNB,L 21-23,20,29,9,69,258,1,1,3.4,3.4,98.9,5,36,14.71,8.9,7.59,8.03,6.85,12.9,23,75,3.3,2,333,57,5.84,70,6.4,1,27:22:00,,8,45,3,24,11,69,17,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,ATL,1989-09-24,28,24,208,8,11,0,0,Sun,3,3,@,IND,L 9-13,13,28,15,46.4,103,0,1,0,3.6,45.7,4,30,12.5,3.7,3.22,2.07,1.81,7.9,24,105,4.4,0,208,56,3.71,62,3.45,3,28:41:00,,8,70,3,31,11,101,11,,,,,,,,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ATL,1989-09-17,29,30,333,3,23,3,0,Sun,2,2,,DAL,W 27-21,21,29,8,72.4,243,0,0,0,0,99.1,2,12,6.45,8.4,7.84,8.38,7.84,11.6,30,90,3,2,333,61,5.46,53,6.58,0,30:09:00,,3,17,8,85,11,102,23,,,,,,,,,,3,3,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0
16,ATL,1989-09-10,37,15,314,6,16,3,0,Sun,1,1,,RAM,L 21-31,23,37,14,62.2,271,2,0,5.4,0,105.6,5,28,11.9,7.3,6.45,8.41,7.4,11.8,15,43,2.9,0,314,57,5.51,62,5.85,0,23:47,,6,44,3,15,9,59,16,,,,,,,,,,3,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,BUF,1990-01-06,54,18,453,6,24,4,0,Sat,1,18,@,CLE,L 30-34,28,54,26,51.9,404,4,2,7.4,3.7,85.8,1,1,1.82,7.5,7.35,7.3,7.16,14.4,18,49,2.7,0,453,73,6.21,61,5.33,3,25:44:00,,6,35,5,30,11,65,24,,,,,,,,,,4,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18,BUF,1989-12-23,21,48,441,4,28,5,0,Sat,16,16,@,NYJ,W 37-0,13,21,8,61.9,208,2,1,9.5,4.8,106.8,0,0,0,9.9,9.9,9.67,9.67,16,48,233,4.9,3,441,69,6.39,50,4,1,35:53:00,,4,30,6,40,10,70,28,,,,,,,,,,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,BUF,1989-12-17,42,18,301,4,17,1,0,Sun,15,15,@,SFO,L 10-21,26,42,16,61.9,255,0,3,0,7.1,50.2,2,10,4.55,6.1,5.8,2.86,2.73,9.8,18,46,2.6,1,301,62,4.85,65,4.35,5,24:21:00,,4,28,3,25,7,53,17,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BUF,1989-12-10,35,25,279,2,16,2,0,Sun,14,14,,NOR,L 19-22,17,35,18,48.6,204,2,3,5.7,8.6,51,2,7,5.41,5.8,5.51,3.11,2.95,12,25,75,3,0,279,62,4.5,70,6.23,4,25:47:00,,2,15,4,25,6,40,16,,,,,,,,,,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BUF,1989-12-04,23,29,232,6,11,1,0,Mon,13,13,@,SEA,L 16-17,10,23,13,43.5,135,1,1,4.3,4.3,60.8,1,9,4.17,5.9,5.63,4.78,4.58,13.5,29,97,3.3,0,232,53,4.38,71,5,2,26:16:00,,6,36,2,15,8,51,11,,,,,,,,,,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BUF,1989-11-26,15,47,345,6,18,3,0,Sun,12,12,,CIN,W 24-7,10,15,5,66.7,117,3,0,20,0,131.4,1,6,6.25,7.8,7.31,11.8,11.06,11.7,47,228,4.9,0,345,63,5.48,57,5.23,2,34:39:00,,6,39,4,15,10,54,18,,,,,,,,,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BUF,1989-11-19,41,28,424,8,24,3,0,Sun,11,11,@,NWE,L 24-33,21,41,20,51.2,340,1,2,2.4,4.9,68.7,3,16,6.82,8.3,7.73,6.59,6.14,16.2,28,84,3,2,424,72,5.89,64,5.61,6,30:50:00,,8,89,6,33,14,122,24,,,,,,,,,,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
