Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2006-01-01,42,31,413,12,23,1,0,Sun,16,17,@,IND,L 13-17,31,42,11,73.8,284,1,1,2.4,2.4,91.1,3,13,6.67,6.8,6.31,6.17,5.76,9.2,31,129,4.2,0,413,76,5.43,44,4.95,2,36:41:00,3:06,12,98,7,50,19,148,23,7,14,2,17,8,47.1,2,1,50,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARI,2005-12-24,38,32,360,9,19,3,0,Sat,15,16,,PHI,W 27-21,27,38,11,71.1,285,2,1,5.3,2.6,100.1,2,9,5,7.5,7.13,7.37,7,10.6,32,75,2.3,0,360,72,5,57,3.32,1,38:54:00,3:15,9,83,10,103,19,186,19,2,15,2,17,7,41.2,0,0,,3,3,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0
3,ARI,2005-12-18,38,13,301,7,16,2,0,Sun,14,15,@,HOU,L 19-30,25,38,13,65.8,262,2,2,5.3,5.3,85.5,6,39,13.64,6.9,5.95,5.58,4.82,10.5,13,39,3,0,301,57,5.28,71,3.56,4,27:36:00,3:18,7,69,5,43,12,112,16,2,13,1,13,4,30.8,0,0,,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2005-12-11,41,18,302,8,17,1,0,Sun,13,14,,WAS,L 13-17,25,41,16,61,240,1,1,2.4,2.4,76.8,2,15,4.65,5.9,5.58,5.24,5,9.6,18,62,3.4,0,302,61,4.95,62,3.73,4,26:41:00,2:56,8,65,5,63,13,128,17,1,14,2,13,5,38.5,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
5,ARI,2005-12-04,45,23,404,11,18,1,0,Sun,12,13,@,SFO,W 17-10,29,45,16,64.4,339,1,2,2.2,4.4,77.5,2,15,4.26,7.5,7.21,5.98,5.72,11.7,23,65,2.8,0,404,70,5.77,47,4.68,2,34:45:00,3:05,11,80,6,44,17,124,18,3,14,1,16,5,31.3,1,0,0,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2005-11-27,46,16,368,11,23,2,0,Sun,11,12,,JAX,L 17-24,29,46,17,63,301,2,1,4.3,2.2,88.6,3,14,6.12,6.5,6.14,6.43,6.04,10.4,16,67,4.2,0,368,65,5.66,61,4.84,2,28:19:00,3:08,11,105,11,81,22,186,23,2,16,5,11,3,27.3,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,ARI,2005-11-20,39,26,372,10,27,4,0,Sun,10,11,@,STL,W 38-28,27,39,12,69.2,278,3,0,7.7,0,115.9,1,7,2.5,7.1,6.95,8.67,8.45,10.3,26,94,3.6,1,372,66,5.64,60,5.95,1,31:45:00,3:23,10,111,9,54,19,165,27,7,16,4,11,5,45.5,0,0,,4,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2005-11-13,45,16,397,9,21,2,0,Sun,9,10,@,DET,L 21-29,29,45,16,64.4,359,1,0,2.2,0,96.4,0,0,0,8,7.98,8.42,8.42,12.4,16,38,2.4,1,397,61,6.51,64,5.98,1,25:32:00,3:10,9,80,7,50,16,130,21,3,18,0,13,6,46.2,1,0,0,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2005-11-06,48,20,378,9,23,1,0,Sun,8,9,,SEA,L 19-33,29,48,19,60.4,307,1,3,2.1,6.3,62.3,4,27,7.69,6.4,5.9,4,3.69,10.6,20,71,3.6,0,378,72,5.25,54,6.85,4,31:57:00,3:08,9,78,6,52,15,130,23,5,17,1,16,8,50,3,2,66.7,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2005-10-30,34,24,213,8,12,1,0,Sun,7,8,@,DAL,L 13-34,16,34,18,47.1,142,1,2,2.9,5.9,46.3,3,19,8.11,4.2,3.84,2.12,1.95,8.9,24,71,3,0,213,61,3.49,59,5.9,2,27:11:00,2:56,8,56,0,0,8,56,12,5,7,0,17,7,41.2,2,1,50,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
11,ARI,2005-10-23,28,22,173,9,9,2,0,Sun,6,7,,TEN,W 20-10,12,28,16,42.9,118,1,1,3.6,3.6,55.7,4,22,12.5,4.2,3.69,3.32,2.91,9.8,22,55,2.5,0,173,54,3.2,76,4.58,1,26:30:00,3:23,9,71,11,90,20,161,9,2,5,2,15,3,20,0,0,,2,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
12,ARI,2005-10-09,46,27,468,8,19,2,0,Sun,5,5,,CAR,L 20-24,29,46,17,63,396,2,3,4.3,6.5,78,1,2,2.13,8.6,8.43,6.54,6.4,13.7,27,72,2.7,0,468,74,6.32,56,5.89,4,34:12:00,3:07,8,55,4,30,12,85,19,2,17,0,16,7,43.8,4,1,25,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ARI,2005-10-02,46,34,463,4,24,2,0,Sun,4,4,,SFO,W 31-14,32,46,14,69.6,366,2,0,4.3,0,109.4,3,19,6.12,8,7.47,8.83,8.29,11.4,34,97,2.9,0,463,83,5.58,50,3.36,3,37:48:00,3:22,4,37,8,52,12,89,24,6,17,1,19,8,42.1,0,0,,2,1,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2
14,ARI,2005-09-25,36,21,266,12,15,0,0,Sun,3,3,@,SEA,L 12-37,18,36,18,50,176,0,1,0,2.8,55.6,3,26,7.69,4.9,4.51,3.64,3.36,9.8,21,90,4.3,0,266,60,4.43,69,6.48,2,26:31:00,3:08,12,71,3,25,15,96,15,5,10,0,13,3,23.1,0,0,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,2005-09-18,42,16,379,8,18,0,0,Sun,2,2,,STL,L 12-17,29,42,13,69,297,0,1,0,2.4,82.1,5,30,10.64,7.1,6.32,6,5.36,10.2,16,82,5.1,0,379,63,6.02,55,5.4,2,31:09:00,3:07,8,72,4,30,12,102,18,4,14,0,13,4,30.8,0,0,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ARI,2005-09-11,56,21,318,10,20,2,0,Sun,1,1,@,NYG,L 19-42,32,56,24,57.1,287,1,2,1.8,3.6,64.3,3,29,5.08,5.1,4.86,3.88,3.68,9,21,31,1.5,0,318,80,3.98,51,5.39,2,35:45:00,3:17,10,53,7,52,17,105,20,2,17,1,19,8,42.1,1,0,0,2,1,1,2,2,1,0,0,0,0,1,0,0,1,1,1,0,0
