Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ATL,1994-01-02,32,13,270,11,16,1,0,Sun,16,18,,PHO,L 10-27,18,32,14,56.3,189,0,2,0,6.3,48.6,1,8,3.03,5.9,5.73,3.09,3,10.5,13,81,6.2,1,270,46,5.87,67,5.9,4,20:16,,11,78,10,123,21,201,16,,,,8,3,37.5,0,0,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ATL,1993-12-26,31,39,376,3,22,2,0,Sun,15,17,@,CIN,L 17-21,16,31,15,51.6,185,1,1,3.2,3.2,68.8,2,11,6.06,6,5.61,5.16,4.85,11.6,39,191,4.9,1,376,72,5.22,56,5.07,1,36:30:00,,3,15,3,25,6,40,22,,,,15,6,40,1,1,100,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ATL,1993-12-19,43,35,378,10,22,2,0,Sun,14,16,@,WAS,L 17-30,24,43,19,55.8,196,1,4,2.3,9.3,40.2,7,37,14,4.6,3.92,0.84,0.72,8.2,35,182,5.2,1,378,85,4.45,42,3.98,6,40:40:00,,10,80,0,0,10,80,22,,,,18,8,44.4,3,1,33.3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,ATL,1993-12-11,39,25,362,9,20,3,0,Sat,13,15,,SFO,W 27-24,24,39,15,61.5,270,3,0,7.7,0,110,4,20,9.3,6.9,6.28,8.46,7.67,11.3,25,92,3.7,0,362,68,5.32,61,5.41,1,33:47:00,,9,80,4,30,13,110,20,,,,12,4,33.3,1,1,100,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ATL,1993-12-05,52,12,333,9,25,2,0,Sun,12,14,@,HOU,L 17-33,30,52,22,57.7,296,2,6,3.8,11.5,48.8,3,21,5.45,5.7,5.38,1.27,1.2,9.9,12,37,3.1,0,333,67,4.97,66,5.88,7,31:30:00,,9,88,10,71,19,159,25,,,,10,2,20,3,2,66.7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,ATL,1993-11-28,30,24,261,7,13,2,0,Sun,11,13,,CLE,W 17-14,21,30,9,70,194,2,0,6.7,0,112.4,2,20,6.25,6.5,6.06,7.8,7.31,9.2,24,67,2.8,0,261,56,4.66,57,5.37,1,32:33:00,,7,45,4,20,11,65,13,,,,15,7,46.7,0,0,,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ATL,1993-11-21,32,34,400,5,22,3,0,Sun,10,12,,DAL,W 27-14,24,32,8,75,315,3,0,9.4,0,136.8,0,0,0,9.8,9.84,11.72,11.72,13.1,34,85,2.5,0,400,66,6.06,54,4.26,1,36:38:00,,5,40,7,51,12,91,22,,,,14,9,64.3,0,0,,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ATL,1993-11-14,21,34,319,8,15,1,0,Sun,9,11,@,RAM,W 13-0,12,21,9,57.1,182,1,1,4.8,4.8,81.8,0,0,0,8.7,8.67,7.48,7.48,15.2,34,137,4,0,319,55,5.8,67,3.88,2,33:05:00,,8,55,7,58,15,113,15,,,,12,3,25,0,0,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ATL,1993-10-31,47,15,337,11,16,3,0,Sun,8,9,,TAM,L 24-31,25,47,22,53.2,269,3,1,6.4,2.1,83.4,1,8,2.08,5.7,5.6,6.04,5.92,10.8,15,68,4.5,0,337,63,5.35,64,6.33,3,27:03:00,,11,91,5,70,16,161,16,,,,12,2,16.7,4,1,25,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATL,1993-10-24,18,39,279,6,17,2,0,Sun,7,8,@,NOR,W 26-15,13,18,5,72.2,156,2,0,11.1,0,137,1,7,5.26,8.7,8.21,10.89,10.32,12,39,123,3.2,0,279,58,4.81,58,5.53,0,36:30:00,,6,39,11,72,17,111,17,,,,11,3,27.3,1,0,0,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ATL,1993-10-14,34,28,311,1,16,3,0,Thu,6,7,,RAM,W 30-24,18,34,16,52.9,208,3,1,8.8,2.9,89.5,1,5,2.86,6.1,5.94,6.56,6.37,11.6,28,103,3.7,0,311,63,4.94,66,6.82,1,31:23:00,,1,5,8,50,9,55,16,,,,15,7,46.7,1,1,100,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ATL,1993-10-03,35,23,271,11,16,0,0,Sun,5,5,@,CHI,L 0-6,23,35,12,65.7,184,0,2,0,5.7,57.8,3,24,7.89,5.3,4.84,2.69,2.47,8,23,87,3.8,0,271,61,4.44,55,4,3,29:16:00,,11,73,7,49,18,122,16,,,,13,5,38.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ATL,1993-09-27,38,17,220,6,16,2,1,Mon,4,4,,PIT,L 17-45,17,38,21,44.7,176,0,4,0,10.5,21.2,3,19,7.32,4.6,4.29,-0.11,-0.1,10.4,17,44,2.6,0,220,58,3.79,59,6.24,6,26:22:00,,6,50,5,88,11,138,16,,,,10,2,20,1,1,100,2,2,2,1,1,0,0,0,1,0,0,1,0,2,0,0,0,1
