Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARI,2011-01-02,53,22,279,8,19,1,0,Sun,16,17,@,SFO,L 7-38,30,53,23,56.6,201,1,2,1.9,3.8,58.8,6,41,10.17,3.8,3.41,2.47,2.22,6.7,22,78,3.5,0,279,81,3.44,56,6.46,2,32:48:00,3:24,8,43,5,25,13,68,19,5,14,0,20,9,45,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,ARI,2010-12-25,25,21,271,6,10,3,0,Sat,15,16,,DAL,W 27-26,11,25,14,44,178,1,0,4,0,82.6,1,5,3.85,7.1,6.85,7.92,7.62,16.2,21,93,4.4,0,271,47,5.77,76,5.03,0,21:55,3:26,6,43,7,49,13,92,10,3,6,1,11,2,18.2,1,1,100,3,3,3,3,2,0,0,0,0,0,2,0,0,2,0,0,0,0
3,ARI,2010-12-19,33,17,218,4,11,1,0,Sun,14,15,@,CAR,L 12-19,17,33,16,51.5,175,0,1,0,3,57.1,3,21,8.33,5.3,4.86,3.94,3.61,10.3,17,43,2.5,0,218,53,4.11,66,4.59,2,23:04,2:45,4,39,6,58,10,97,11,3,7,1,15,4,26.7,1,1,100,1,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0
4,ARI,2010-12-12,38,34,357,7,21,4,0,Sun,13,14,,DEN,W 43-13,15,38,23,39.5,146,0,0,0,0,51,0,0,0,3.8,3.84,3.84,3.84,9.7,34,211,6.2,3,357,72,4.96,73,3.95,1,30:21:00,3:39,7,62,8,66,15,128,21,9,8,4,16,4,25,1,1,100,4,4,4,6,5,0,0,0,0,0,0,1,0,1,0,0,0,0
5,ARI,2010-12-05,29,19,224,6,14,0,0,Sun,12,13,,STL,L 6-19,11,29,18,37.9,119,0,2,0,6.9,26.2,4,29,12.12,4.1,3.61,1,0.88,10.8,19,105,5.5,0,224,52,4.31,67,4.3,2,26:14:00,2:53,6,54,2,15,8,69,14,5,9,0,11,1,9.1,0,0,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2010-11-29,35,11,203,6,8,0,0,Mon,11,12,,SFO,L 6-27,16,35,19,45.7,190,0,1,0,2.9,51.6,1,6,2.78,5.4,5.28,4.14,4.03,11.9,11,13,1.2,0,203,47,4.32,71,5.44,2,20:59,3:05,6,61,6,40,12,101,8,0,8,0,11,2,18.2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2010-11-21,46,20,382,11,19,1,0,Sun,10,11,@,KAN,L 13-31,25,46,21,54.3,281,1,0,2.2,0,81.3,2,14,4.17,6.1,5.85,6.54,6.27,11.2,20,101,5.1,0,382,68,5.62,53,6.64,0,32:22:00,3:14,11,96,5,23,16,119,19,4,14,1,15,4,26.7,2,1,50,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2010-11-14,45,14,327,10,19,2,0,Sun,9,10,,SEA,L 18-36,23,45,22,51.1,286,1,1,2.2,2.2,72.6,5,36,10,6.4,5.72,5.8,5.22,12.4,14,41,2.9,1,327,64,5.11,73,6.71,2,24:55:00,3:22,10,50,6,51,16,101,19,2,16,1,11,2,18.2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2010-11-07,27,21,225,7,13,3,1,Sun,8,9,@,MIN,L 24-27 (OT),16,27,11,59.3,172,1,0,3.7,0,94.1,6,24,18.18,6.4,5.21,7.11,5.82,10.8,21,53,2.5,0,225,54,4.17,70,7.24,1,27:13:00,3:16,7,39,11,65,18,104,13,3,9,1,13,3,23.1,0,0,,3,3,3,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0
