Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
16,ARI,2018-09-09,34,15,213,9,14,1,0,Sun,1,1,,WAS,L 6-24,20,34,14,58.8,145,0,1,0,2.9,57.6,2,8,5.56,4.3,4.03,2.94,2.78,7.3,15,68,4.5,1,213,51,4.18,75,5.72,2,21:52,2:57,9,67,9,63,18,130,14,7,6,1,8,1,12.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,2018-09-16,27,15,137,9,5,0,0,Sun,2,2,@,LAR,L 0-34,17,27,10,63,83,0,1,0,3.7,53,1,7,3.57,3.1,2.96,1.41,1.36,4.9,15,54,3.6,0,137,43,3.19,67,6.45,1,25:52:00,2:45,9,47,5,49,14,96,5,1,4,0,12,3,25,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ARI,2018-09-23,26,18,221,6,13,2,0,Sun,3,3,,CHI,L 14-16,17,26,9,65.4,168,2,3,7.7,11.5,73.6,4,25,13.33,6.5,5.6,2.81,2.43,9.9,18,53,2.9,0,221,48,4.6,69,4.58,4,23:39,3:07,6,43,7,45,13,88,13,3,8,2,10,3,30,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ARI,2018-09-30,27,28,263,5,18,2,0,Sun,4,4,,SEA,L 17-20,15,27,12,55.6,171,1,0,3.7,0,88.5,1,9,3.57,6.3,6.11,7.07,6.82,11.4,28,92,3.3,1,263,56,4.7,62,5.34,1,28:14:00,3:05,5,38,8,57,13,95,18,6,9,3,12,5,41.7,0,0,,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2018-10-07,25,23,220,5,10,4,0,Sun,5,5,@,SFO,W 28-18,10,25,15,40,164,1,0,4,0,77.1,1,6,3.85,6.6,6.31,7.36,7.08,16.4,23,56,2.4,2,220,49,4.49,92,4.86,0,19:48,3:17,5,46,9,65,14,111,10,4,5,1,12,2,16.7,0,0,,4,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,ARI,2018-10-14,31,20,268,5,16,2,0,Sun,6,6,@,MIN,L 17-27,21,31,10,67.7,208,0,1,0,3.2,77.4,4,32,11.43,6.7,5.94,5.26,4.66,9.9,20,60,3,1,268,55,4.87,70,5.87,2,25:38:00,3:01,5,30,9,52,14,82,16,5,9,2,10,0,0,2,0,0,2,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
10,ARI,2018-10-18,39,21,223,7,14,1,0,Thu,7,7,,DEN,L 10-45,21,39,18,53.8,154,1,3,2.6,7.7,44.2,6,40,13.33,3.9,3.42,1,0.87,7.3,21,69,3.3,0,223,66,3.38,55,5.62,5,29:11:00,3:04,7,45,5,50,12,95,14,4,8,2,14,4,28.6,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
9,ARI,2018-10-28,40,21,321,9,20,2,0,Sun,8,8,,SFO,W 18-15,23,40,17,57.5,233,2,1,5,2.5,82.5,3,19,6.98,5.8,5.42,5.7,5.3,10.1,21,88,4.2,0,321,64,5.02,63,4.24,2,27:41:00,3:11,9,62,5,59,14,121,20,3,15,2,14,6,42.9,0,0,,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2018-11-11,39,25,260,3,21,2,0,Sun,9,10,@,KAN,L 14-26,22,39,17,56.4,166,1,2,2.6,5.1,58.5,5,42,11.36,4.3,3.77,2.46,2.18,7.5,25,94,3.8,1,260,69,3.77,56,5.89,2,31:47:00,2:54,3,30,8,63,11,93,21,7,13,1,14,7,50,2,1,50,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2018-11-18,20,31,282,7,13,3,0,Sun,10,11,,OAK,L 21-23,9,20,11,45,128,3,2,15,10,67.9,1,8,4.76,6.4,6.1,4.9,4.67,14.2,31,154,5,0,282,52,5.42,68,4.78,2,23:59,3:02,7,62,4,20,11,82,13,5,7,1,11,3,27.3,0,0,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
