Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2017-12-31,34,33,259,4,19,2,0,Sun,16,17,@,SEA,W 26-24,15,34,19,44.1,143,1,1,2.9,2.9,54.2,1,2,2.86,4.2,4.09,3.47,3.37,9.5,33,116,3.5,1,259,68,3.81,54,5.48,1,32:16:00,3:17,4,25,8,100,12,125,19,7,9,3,14,4,28.6,0,0,,2,2,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
2,ARI,2017-12-24,35,27,289,6,19,3,0,Sun,15,16,,NYG,W 23-0,21,35,14,60,215,2,2,5.7,5.7,74.7,2,15,5.41,6.1,5.81,4.71,4.46,10.2,27,74,2.7,0,289,64,4.52,67,4.37,2,33:13:00,3:04,6,45,10,101,16,146,19,4,13,2,14,5,35.7,0,0,,3,3,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3,ARI,2017-12-17,41,34,286,8,19,0,0,Sun,14,15,@,WAS,L 15-20,16,41,25,39,145,0,1,0,2.4,43.6,5,44,10.87,3.5,3.15,2.44,2.17,9.1,34,141,4.1,0,286,80,3.58,47,4.64,2,36:16:00,3:04,8,71,7,82,15,153,19,8,8,3,19,4,21.1,3,2,66.7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2017-12-10,26,29,261,5,16,0,0,Sun,13,14,,TEN,W 12-7,17,26,9,65.4,125,0,0,0,0,85.1,8,53,23.53,4.8,3.68,4.81,3.68,7.4,29,136,4.7,0,261,63,4.14,56,3.64,0,33:49:00,2:58,5,30,6,48,11,78,16,5,9,2,14,3,21.4,0,0,,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,2017-12-03,32,24,305,4,19,2,0,Sun,12,13,,LAR,L 16-32,18,32,14,56.3,187,1,2,3.1,6.3,62.1,7,34,17.95,5.8,4.79,3.66,3,10.4,24,118,4.9,1,305,63,4.84,56,5.41,2,31:02:00,3:03,4,25,7,36,11,61,19,6,12,1,15,7,46.7,0,0,,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,ARI,2017-11-26,38,31,344,10,20,2,0,Sun,11,12,,JAX,W 27-24,22,38,16,57.9,236,2,1,5.3,2.6,83.3,1,5,2.56,6.2,6.05,6.08,5.92,10.7,31,108,3.5,0,344,70,4.91,58,3.78,2,34:39:00,3:18,10,98,5,45,15,143,20,5,12,3,17,7,41.2,0,0,,2,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1
7,ARI,2017-11-19,34,18,292,10,17,3,0,Sun,10,11,@,HOU,L 21-31,22,34,12,64.7,244,3,2,8.8,5.9,92.4,2,13,5.56,7.2,6.78,6.29,5.94,11.1,18,48,2.7,0,292,54,5.41,67,5.33,2,26:14:00,3:11,10,90,6,42,16,132,17,1,14,2,10,3,30,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2017-11-09,47,24,290,9,24,2,0,Thu,9,10,,SEA,L 16-22,24,47,23,51.1,256,1,0,2.1,0,75.9,2,17,4.08,5.4,5.22,5.87,5.63,10.7,24,34,1.4,1,290,73,3.97,60,4.78,1,29:07:00,3:28,9,58,12,108,21,166,24,2,16,6,15,6,40,3,1,33.3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2017-11-05,30,43,368,2,20,2,0,Sun,8,9,@,SFO,W 20-10,15,30,15,50,201,2,1,6.7,3.3,80,0,0,0,6.7,6.7,6.53,6.53,13.4,43,167,3.9,0,368,73,5.04,73,4.51,2,36:22:00,3:22,2,25,8,53,10,78,20,6,11,3,16,7,43.8,0,0,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2017-10-22,32,12,196,10,10,0,0,Sun,7,7,@,LAR,L 0-33,15,32,17,46.9,171,0,2,0,6.3,39.6,3,17,8.57,5.3,4.89,2.53,2.31,11.4,12,25,2.1,0,196,47,4.17,78,5.45,2,20:59,2:57,10,65,6,45,16,110,10,1,8,1,12,3,25,2,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
