Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2017-01-01,42,24,344,4,21,5,0,Sun,16,17,@,LAR,W 44-6,22,42,20,52.4,260,3,2,7.1,4.8,75.8,1,3,2.33,6.2,6.05,5.48,5.35,11.8,24,84,3.5,1,344,67,5.13,57,2.16,2,27:58:00,3:12,4,51,9,61,13,112,21,3,15,3,14,4,28.6,2,1,50,5,5,5,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0
2,ARI,2016-12-24,27,29,370,7,21,4,0,Sat,15,16,@,SEA,W 34-31,16,27,11,59.3,276,1,0,3.7,0,107.6,1,8,3.57,10.2,9.86,10.96,10.57,17.3,29,94,3.2,3,370,57,6.49,78,5.01,1,26:18:00,3:21,7,85,5,40,12,125,21,10,9,2,9,1,11.1,0,0,,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2016-12-18,40,15,425,7,26,6,0,Sun,14,15,,NOR,L 41-48,28,40,12,70,309,2,0,5,0,110.2,1,9,2.44,7.7,7.54,8.73,8.51,11,15,116,7.7,3,425,56,7.59,83,5.88,2,22:47,3:21,7,52,5,46,12,98,26,7,17,2,10,5,50,1,1,100,6,6,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,ARI,2016-12-11,33,27,300,7,21,3,0,Sun,13,14,@,MIA,L 23-26,18,33,15,54.5,125,2,2,6.1,6.1,60.8,3,20,8.33,3.8,3.47,2.27,2.08,6.9,27,175,6.5,1,300,63,4.76,57,5.51,4,29:56:00,3:30,7,54,14,118,21,172,21,6,10,5,13,4,30.8,0,0,,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,ARI,2016-12-04,46,24,369,6,24,4,0,Sun,12,13,,WAS,W 31-23,30,46,16,65.2,281,3,0,6.5,0,105.3,2,19,4.17,6.1,5.85,7.41,7.1,9.4,24,88,3.7,1,369,72,5.13,57,5.84,0,33:46:00,3:12,6,51,7,35,13,86,24,7,16,1,16,10,62.5,1,1,100,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2016-11-27,45,14,332,8,23,2,0,Sun,11,12,@,ATL,L 19-38,25,45,20,55.6,274,2,1,4.4,2.2,80.7,2,15,4.26,6.1,5.83,5.98,5.72,11,14,58,4.1,0,332,61,5.44,67,5.37,1,25:38:00,3:01,8,60,4,23,12,83,23,3,17,3,11,4,36.4,2,1,50,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2016-11-20,38,28,290,8,24,3,0,Sun,10,11,@,MIN,L 24-30,20,38,18,52.6,155,2,2,5.3,5.3,63.3,4,43,9.52,4.1,3.69,2.76,2.5,7.8,28,135,4.8,1,290,70,4.14,54,4.02,2,31:02:00,3:11,8,96,10,73,18,169,24,8,12,4,13,4,30.8,1,0,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
8,ARI,2016-11-13,49,23,443,2,26,2,0,Sun,9,10,,SFO,W 23-20,30,49,19,61.2,363,1,2,2,4.1,74.9,2,13,3.92,7.4,7.12,5.98,5.75,12.1,23,80,3.5,1,443,74,5.99,61,4.61,4,32:18:00,3:09,2,10,9,100,11,110,26,4,17,5,14,7,50,0,0,,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2016-10-30,46,10,340,10,22,3,0,Sun,8,8,@,CAR,L 20-30,35,46,11,76.1,316,3,1,6.5,2.2,111.1,8,47,14.81,6.9,5.85,7.2,6.13,9,10,24,2.4,0,340,64,5.31,64,5.45,2,29:12:00,3:32,10,88,5,40,15,128,22,2,19,1,12,4,33.3,1,1,100,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,ARI,2016-10-23,49,37,443,6,23,0,0,Sun,7,7,,SEA,T 6-6 (OT),29,49,20,59.2,311,0,0,0,0,80.5,4,31,7.55,6.3,5.87,6.35,5.87,10.7,37,132,3.6,0,443,90,4.92,57,4.51,0,46:21:00,3:41,6,45,10,90,16,135,23,6,14,3,21,10,47.6,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,2016-10-17,35,35,396,9,28,4,0,Mon,6,6,,NYJ,W 28-3,24,35,11,68.6,225,1,0,2.9,0,95.5,0,0,0,6.4,6.43,7,7,9.4,35,171,4.9,3,396,70,5.66,52,4.42,0,36:02:00,3:05,9,64,10,83,19,147,28,10,14,4,11,6,54.5,0,0,,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2016-10-06,28,37,288,7,17,4,0,Thu,5,5,@,SFO,W 33-21,11,28,17,39.3,116,2,0,7.1,0,77.1,1,8,3.45,4.1,4,5.57,5.38,10.5,37,172,4.6,2,288,66,4.36,74,3.86,0,31:44:00,3:06,7,50,4,34,11,84,17,10,6,1,16,5,31.3,0,0,,4,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,ARI,2016-10-02,47,25,420,6,26,1,0,Sun,4,4,,LAR,L 13-17,27,47,20,57.4,302,1,3,2.1,6.4,59.3,3,23,6,6.4,6.04,3.98,3.74,11.2,25,118,4.7,0,420,75,5.6,55,5.24,5,32:09:00,3:12,6,45,9,84,15,129,26,6,17,3,13,6,46.2,0,0,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ARI,2016-09-25,50,22,348,8,25,2,0,Sun,3,3,@,BUF,L 18-33,26,50,24,52,260,0,4,0,8,36,5,27,9.09,5.2,4.73,1.6,1.45,10,22,88,4,2,348,77,4.52,61,4.87,5,34:00:00,3:18,8,50,9,75,17,125,25,5,17,3,15,5,33.3,1,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
