Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2016-01-24,41,16,287,8,21,2,0,Sun,2,20,@,CAR,L 15-49,23,41,18,56.1,227,1,4,2.4,9.8,41.3,3,8,6.82,5.5,5.16,1.63,1.52,9.9,16,60,3.8,1,287,60,4.78,66,7.21,7,23:21,3:16,8,51,5,45,13,96,21,5,14,2,10,3,30,2,2,100,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2,ARI,2016-01-16,41,19,368,3,20,3,0,Sat,1,19,,GNB,W 26-20 (OT),25,41,16,61,328,3,2,7.3,4.9,92.4,3,21,6.82,8,7.45,7.27,6.77,13.1,19,40,2.1,0,368,63,5.84,67,5.76,2,30:51:00,3:23,3,26,8,55,11,81,20,2,16,2,13,5,38.5,1,1,100,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2016-01-03,43,13,232,6,16,1,0,Sun,16,17,,SEA,L 6-36,20,43,23,46.5,205,1,3,2.3,7,40.2,2,8,4.44,4.8,4.56,2.09,2,10.3,13,27,2.1,0,232,58,4,69,5.13,3,23:23,2:57,6,43,6,70,12,113,16,0,13,3,12,5,41.7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2015-12-27,28,26,381,10,19,5,0,Sun,15,16,,GNB,W 38-8,19,28,9,67.9,260,2,1,7.1,3.6,107.6,2,9,6.67,9.3,8.67,9.11,8.5,13.7,26,121,4.7,1,381,56,6.8,64,2.78,2,30:16:00,3:02,10,119,7,59,17,178,19,5,13,1,10,5,50,0,0,,5,5,5,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0
5,ARI,2015-12-20,33,39,493,1,28,5,0,Sun,14,15,@,PHI,W 40-17,20,33,13,60.6,263,1,0,3,0,97.3,2,11,5.71,8,7.51,8.58,8.09,13.2,39,230,5.9,3,493,74,6.66,63,6.73,0,37:28:00,3:00,1,10,5,38,6,48,28,12,15,1,14,8,57.1,0,0,,5,5,4,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
6,ARI,2015-12-10,35,29,393,4,22,2,0,Thu,13,14,,MIN,W 23-20,25,35,10,71.4,296,2,0,5.7,0,117.6,2,14,5.41,8.5,8,9.6,9.08,11.8,29,97,3.3,0,393,66,5.95,63,6.17,0,31:59:00,2:59,4,30,3,25,7,55,22,6,16,0,13,6,46.2,1,1,100,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2015-12-06,41,36,524,3,29,3,0,Sun,12,13,@,STL,W 27-3,27,41,14,65.9,349,2,0,4.9,0,110,2,13,4.65,8.5,8.12,9.49,9.05,12.9,36,175,4.9,1,524,79,6.63,50,4.24,0,39:47:00,3:14,3,25,7,104,10,129,29,8,18,3,16,7,43.8,1,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,2015-11-29,40,29,337,7,26,2,0,Sun,11,12,@,SFO,W 19-13,24,40,16,60,267,0,0,0,0,80.3,1,4,2.44,6.7,6.51,6.68,6.51,11.1,29,70,2.4,2,337,70,4.81,55,6.69,0,37:27:00,3:03,7,47,13,81,20,128,26,5,14,7,14,7,50,1,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,2015-11-22,31,25,383,7,21,4,0,Sun,10,11,,CIN,W 34-31,20,31,11,64.5,301,4,2,12.9,6.5,111.2,2,16,6.06,9.7,9.12,9.39,8.82,15.1,25,82,3.3,0,383,58,6.6,71,5.31,2,28:45:00,3:18,7,40,10,108,17,148,21,2,15,4,11,5,45.5,0,0,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2015-11-15,47,33,451,9,30,4,0,Sun,9,10,@,SEA,W 39-32,29,47,18,61.7,334,3,1,6.4,2.1,98.1,3,29,6,7.1,6.68,7.43,6.98,11.5,33,117,3.5,1,451,83,5.43,52,6.6,3,38:52:00,3:53,9,66,14,131,23,197,30,5,20,5,17,8,47.1,0,0,,4,4,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1
11,ARI,2015-11-01,38,38,491,5,25,4,0,Sun,8,8,@,CLE,W 34-20,23,38,15,60.5,372,4,1,10.5,2.6,117.7,1,2,2.56,9.8,9.54,10.71,10.44,16.2,38,119,3.1,0,491,77,6.38,61,4.16,4,34:23:00,3:20,5,25,7,35,12,60,25,6,17,2,16,13,81.3,0,0,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2015-10-26,29,28,414,4,21,3,0,Mon,7,7,,BAL,W 26-18,20,29,9,69,264,2,0,6.9,0,122.1,2,11,6.45,9.1,8.52,10.48,9.81,13.2,28,150,5.4,1,414,59,7.02,59,4.68,0,29:36:00,3:02,4,40,9,64,13,104,21,5,14,2,12,5,41.7,0,0,,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ARI,2015-10-18,45,20,469,9,21,1,0,Sun,6,6,@,PIT,L 13-25,29,45,16,64.4,414,1,2,2.2,4.4,83.7,1,7,2.17,9.2,9,7.64,7.48,14.3,20,55,2.8,0,469,66,7.11,53,5.85,3,31:09:00,3:09,9,111,6,48,15,159,21,2,18,1,12,5,41.7,1,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ARI,2015-10-11,18,25,345,9,15,6,0,Sun,5,5,@,DET,W 42-17,12,18,6,66.7,158,3,0,16.7,0,136.8,2,13,10,8.8,7.9,12.11,10.9,13.2,25,187,7.5,3,345,45,7.67,89,4.89,0,23:28,3:15,9,70,9,85,18,155,15,7,7,1,8,1,12.5,0,0,,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARI,2015-10-04,46,21,447,3,26,1,0,Sun,4,4,,STL,L 22-24,29,46,17,63,334,1,1,2.2,2.2,84.7,4,18,8,7.3,6.68,6.72,6.18,11.5,21,113,5.4,0,447,71,6.3,51,6.43,3,33:13:00,3:02,3,20,7,66,10,86,26,7,17,2,11,2,18.2,2,1,50,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ARI,2015-09-27,32,37,446,4,28,6,0,Sun,3,3,,SFO,W 47-7,20,32,12,62.5,307,2,1,6.3,3.1,102.5,1,4,3.03,9.6,9.3,9.44,9.15,15.4,37,139,3.8,2,446,70,6.37,50,3.12,1,36:32:00,2:53,4,24,6,45,10,69,28,9,15,4,13,6,46.2,1,1,100,6,6,6,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0
17,ARI,2015-09-20,24,28,300,8,21,7,1,Sun,2,2,@,CHI,W 48-23,17,24,7,70.8,185,4,1,16.7,4.2,115.5,0,0,0,7.7,7.71,9.17,9.17,10.9,28,115,4.1,1,300,52,5.77,62,5.4,2,30:04:00,3:18,8,58,14,170,22,228,21,6,12,3,9,5,55.6,1,1,100,7,7,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
18,ARI,2015-09-13,32,25,427,5,25,4,0,Sun,1,1,,NOR,W 31-19,19,32,13,59.4,307,3,0,9.4,0,122.8,0,0,0,9.6,9.59,11.47,11.47,16.2,25,120,4.8,1,427,57,7.49,70,5.83,1,26:36:00,3:07,5,30,7,73,12,103,25,7,13,5,10,5,50,0,0,,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ATL,2016-01-03,36,26,414,4,25,2,0,Sun,16,17,,NOR,L 17-20,24,36,12,66.7,327,2,1,5.6,2.8,103.2,1,7,2.7,9.1,8.84,8.94,8.7,13.6,26,87,3.3,0,414,63,6.57,65,6,2,30:26:00,2:53,4,32,4,45,8,77,25,5,18,2,12,8,66.7,0,0,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ATL,2015-12-27,30,30,373,3,21,2,0,Sun,15,16,,CAR,W 20-13,23,30,7,76.7,296,1,0,3.3,0,119.6,2,10,6.25,9.9,9.25,10.53,9.88,12.9,30,77,2.6,1,373,62,6.02,52,5.15,1,35:38:00,2:55,3,20,4,40,7,60,21,6,13,2,15,9,60,0,0,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ATL,2015-12-20,35,33,328,5,22,2,0,Sun,14,15,@,JAX,W 23-17,22,35,13,62.9,245,1,1,2.9,2.9,81.4,1,1,2.78,7,6.81,6.29,6.11,11.1,33,83,2.5,1,328,69,4.75,60,6.17,1,34:33:00,3:18,5,43,5,62,10,105,22,6,13,3,14,7,50,0,0,,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ATL,2015-12-13,41,16,230,6,15,0,0,Sun,13,14,@,CAR,L 0-38,25,41,16,61,176,0,2,0,4.9,56.5,5,59,10.87,4.3,3.83,2.1,1.87,7,16,54,3.4,0,230,62,3.71,61,6.95,4,28:21:00,3:10,6,54,6,60,12,114,15,3,11,1,14,4,28.6,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ATL,2015-12-06,45,18,319,7,21,1,0,Sun,12,13,@,TAM,L 19-23,30,45,15,66.7,255,1,1,2.2,2.2,80.7,3,14,6.25,5.7,5.31,5.11,4.79,8.5,18,64,3.6,0,319,66,4.83,65,5.97,1,28:45:00,2:56,7,58,8,53,15,111,21,6,14,1,16,8,50,0,0,,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ATL,2015-11-29,31,24,326,6,22,1,0,Sun,11,12,,MIN,L 10-20,22,31,9,71,210,1,2,3.2,6.5,76,2,20,6.06,6.8,6.36,4.52,4.24,9.5,24,116,4.8,0,326,57,5.72,67,5.45,3,26:32:00,2:53,6,78,9,53,15,131,22,2,14,6,11,5,45.5,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ATL,2015-11-22,46,24,375,6,21,3,0,Sun,10,11,,IND,L 21-24,25,46,21,54.3,275,3,3,6.5,6.5,67.3,1,5,2.13,6,5.85,4.35,4.26,11,24,100,4.2,0,375,71,5.28,61,4.52,4,27:21:00,3:05,6,69,7,42,13,111,21,3,15,3,16,8,50,1,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
