Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,2009-02-01,43,12,407,11,23,3,0,Sun,4,21,N,PIT,L 23-27,31,43,12,72.1,374,3,1,7,2.3,112.3,2,3,4.44,8.7,8.31,9.05,8.64,12.1,12,33,2.8,0,407,57,7.14,58,5.03,2,26:59:00,3:38,11,106,7,56,18,162,23,2,20,1,8,3,37.5,0,0,,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,ARI,2009-01-18,28,29,369,3,21,4,0,Sun,3,20,,PHI,W 32-25,21,28,7,75,267,4,0,14.3,0,145.7,2,12,6.67,9.5,8.9,12.39,11.57,12.7,29,102,3.5,0,369,59,6.25,67,6.78,1,29:56:00,3:14,3,15,7,64,10,79,21,6,13,2,12,5,41.7,1,1,100,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3,ARI,2009-01-10,32,43,360,5,21,3,0,Sat,2,19,@,CAR,W 33-13,21,32,11,65.6,215,2,1,6.3,3.1,93.2,1,5,3.03,6.7,6.52,6.56,6.36,10.2,43,145,3.4,1,360,76,4.74,51,5.27,1,39:49:00,3:11,5,65,6,40,11,105,21,8,10,3,18,10,55.6,0,0,,3,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,2009-01-03,32,28,357,6,15,4,0,Sat,1,18,,ATL,W 30-24,19,32,13,59.4,271,2,1,6.3,3.1,94.7,0,0,0,8.5,8.47,8.31,8.31,14.3,28,86,3.1,1,357,60,5.95,67,3.73,1,30:02:00,3:02,6,47,6,52,12,99,15,5,9,1,15,6,40,0,0,,4,4,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
5,ARI,2008-12-28,38,19,457,10,19,4,0,Sun,16,17,,SEA,W 34-21,24,38,14,63.2,346,4,1,10.5,2.6,116.8,1,0,2.56,9.1,8.87,10.03,9.77,14.4,19,111,5.8,0,457,58,7.88,72,4.58,2,27:44:00,3:10,10,100,11,82,21,182,19,4,14,1,12,6,50,0,0,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,2008-12-21,32,15,186,3,8,1,0,Sun,15,16,@,NWE,L 7-47,12,32,20,37.5,142,1,1,3.1,3.1,52.6,3,26,8.57,4.4,4.06,3.66,3.34,11.8,15,44,2.9,0,186,50,3.72,81,6.35,2,21:25,3:07,3,20,7,65,10,85,8,2,6,0,13,3,23.1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,2008-12-14,50,7,316,5,16,2,0,Sun,14,15,,MIN,L 14-35,32,50,18,64,273,1,1,2,2,78.6,4,25,7.41,5.5,5.06,4.96,4.59,8.5,7,43,6.1,0,316,61,5.18,64,6.19,2,25:26:00,3:05,5,60,6,34,11,94,16,1,13,2,13,4,30.8,3,2,66.7,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
8,ARI,2008-12-07,33,22,335,5,18,4,0,Sun,13,14,,STL,W 34-10,24,33,9,72.7,272,1,1,3,3,95.4,1,7,2.94,8.2,8,7.48,7.26,11.3,22,63,2.9,1,335,56,5.98,64,4.81,1,30:33:00,2:54,5,30,1,5,6,35,18,6,12,0,9,3,33.3,0,0,,4,4,4,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0
9,ARI,2008-11-27,39,10,260,1,12,3,0,Thu,12,13,@,PHI,L 20-48,21,39,18,53.8,235,3,3,7.7,7.7,65.7,0,0,0,6,6.03,4.1,4.1,11.2,10,25,2.5,0,260,49,5.31,80,5.46,4,20:27,3:10,1,2,8,61,9,63,12,0,10,2,10,3,30,2,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,2008-11-23,52,15,371,3,27,3,0,Sun,11,12,,NYG,L 29-37,32,52,20,61.5,348,1,1,1.9,1.9,79.9,1,3,1.89,6.7,6.57,6.21,6.09,10.9,15,23,1.5,2,371,68,5.46,61,5.26,2,29:23:00,3:22,3,29,9,76,12,105,27,2,21,4,14,8,57.1,0,0,,3,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,2008-11-16,44,24,458,8,24,2,0,Sun,10,11,@,SEA,W 26-20,32,44,12,72.7,382,1,1,2.3,2.3,98.2,2,13,4.35,8.7,8.3,8.11,7.76,11.9,24,76,3.2,1,458,70,6.54,53,3.7,3,34:05:00,3:01,8,52,1,15,9,67,24,6,18,0,12,6,50,0,0,,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ARI,2008-11-10,42,19,374,10,21,3,0,Mon,9,10,,SFO,W 29-24,32,42,10,76.2,328,3,0,7.1,0,121.9,0,0,0,7.8,7.81,9.24,9.24,10.3,19,46,2.4,0,374,61,6.13,68,4.94,0,31:37:00,3:26,10,71,10,93,20,164,21,2,17,2,13,4,30.8,1,1,100,3,2,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0
13,ARI,2008-11-02,33,34,510,10,24,4,0,Sun,8,9,@,STL,W 34-13,22,33,11,66.7,334,2,0,6.1,0,121.1,1,9,2.94,10.1,9.82,11.33,11,15.2,34,176,5.2,1,510,68,7.5,55,4.2,0,38:38:00,3:15,10,69,4,41,14,110,24,11,12,1,13,4,30.8,1,0,0,4,4,4,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
