Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
1,ARI,1994-12-24,42,25,385,8,18,0,0,Sat,16,17,@,ATL,L 6-10,26,42,16,61.9,313,0,0,0,0,85.1,1,4,2.33,7.5,7.28,7.45,7.28,12,25,72,2.9,0,385,68,5.66,53,5.79,2,33:00:00,,8,45,8,43,16,88,18,,,,13,4,30.8,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARI,1994-12-18,34,39,364,8,24,4,0,Sun,15,16,,CIN,W 28-7,21,34,13,61.8,212,2,0,5.9,0,100,1,7,2.86,6.2,6.06,7.41,7.2,10.1,39,152,3.9,2,364,74,4.92,46,4.11,0,41:31:00,,8,69,7,42,15,111,24,,,,15,6,40,1,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,1994-12-11,25,28,278,5,14,2,0,Sun,14,15,,WAS,W 17-15,16,25,9,64,194,1,0,4,0,104.7,3,22,10.71,7.8,6.93,8.56,7.64,12.1,28,84,3,1,278,56,4.96,56,7.25,1,28:26:00,,5,40,5,30,10,70,14,,,,13,3,23.1,1,1,100,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ARI,1994-12-04,20,45,332,3,18,3,0,Sun,13,14,@,HOU,W 30-12,12,20,8,60,171,1,1,5,5,84.6,1,5,4.76,8.6,8.14,7.3,6.95,14.3,45,161,3.6,2,332,66,5.03,54,3.67,1,39:55:00,,3,25,2,10,5,35,18,,,,15,6,40,0,0,,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
5,ARI,1994-11-27,43,17,244,8,15,1,0,Sun,12,13,,CHI,L 16-19 (OT),23,43,20,53.5,177,0,1,0,2.3,55.6,2,15,4.44,4.1,3.93,3.07,2.93,7.7,17,67,3.9,0,244,62,3.94,68,4.68,1,29:59:00,,8,71,3,30,11,101,15,,,,14,4,28.6,0,0,,1,1,1,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0
6,ARI,1994-11-20,23,39,281,12,16,0,0,Sun,11,12,,PHI,W 12-6,12,23,11,52.2,123,0,0,0,0,69.5,1,9,4.17,5.3,5.13,5.35,5.13,10.3,39,158,4.1,0,281,63,4.46,62,2.98,1,36:23:00,,12,85,7,55,19,140,16,,,,15,4,26.7,0,0,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,1994-11-13,33,28,239,9,18,1,0,Sun,10,11,@,NYG,W 10-9,17,33,16,51.5,173,1,1,3,3,65.2,2,7,5.71,5.2,4.94,4.48,4.23,10.2,28,66,2.4,0,239,63,3.79,60,3.85,1,29:24:00,,9,46,7,76,16,122,18,,,,14,5,35.7,3,1,33.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,1994-11-06,30,24,254,12,21,1,0,Sun,9,10,@,PHI,L 7-17,19,30,11,63.3,181,1,0,3.3,0,96.4,5,38,14.29,6,5.17,6.7,5.74,9.5,24,73,3,0,254,59,4.31,58,5.55,2,30:26:00,,12,82,10,79,22,161,21,,,,10,2,20,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ARI,1994-10-30,27,37,335,4,16,2,0,Sun,8,9,,PIT,W 20-17 (OT),13,27,14,48.1,236,0,0,0,0,80.9,2,15,6.9,8.7,8.14,8.74,8.14,18.2,37,99,2.7,2,335,66,5.08,55,5.76,1,36:29:00,,4,45,7,36,11,81,16,,,,14,3,21.4,1,1,100,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ARI,1994-10-23,31,37,315,6,22,3,0,Sun,7,8,,DAL,L 21-28,18,31,13,58.1,208,1,0,3.2,0,89.9,1,5,3.13,6.7,6.5,7.35,7.13,11.6,37,107,2.9,2,315,69,4.57,50,6.24,0,37:09:00,,6,42,6,56,12,98,22,,,,18,9,50,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARI,1994-10-16,34,48,324,9,19,2,0,Sun,6,7,@,WAS,W 19-16 (OT),16,34,18,47.1,173,1,3,2.9,8.8,38.1,3,21,8.11,5.1,4.68,1.71,1.57,10.8,48,151,3.1,1,324,85,3.81,62,3.77,3,41:10:00,,9,70,7,61,16,131,19,,,,21,7,33.3,2,0,0,2,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0
12,ARI,1994-10-09,35,18,221,10,10,0,0,Sun,5,6,@,DAL,L 3-38,16,35,19,45.7,168,0,5,0,14.3,20.7,1,1,2.78,4.8,4.67,-1.63,-1.58,10.5,18,53,2.9,0,221,54,4.09,64,5.48,5,24:45:00,,10,91,5,35,15,126,10,,,,12,2,16.7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13,ARI,1994-10-02,36,30,309,11,21,2,0,Sun,4,5,,MIN,W 17-7,20,36,16,55.6,200,1,1,2.8,2.8,71.6,2,21,5.26,5.6,5.26,4.86,4.61,10,30,109,3.6,1,309,68,4.54,61,5.87,2,32:39:00,,11,79,8,60,19,139,21,,,,14,7,50,0,0,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ARI,1994-09-18,58,17,318,7,21,0,0,Sun,3,3,@,CLE,L 0-32,26,58,32,44.8,255,0,3,0,5.2,37.2,2,14,3.33,4.4,4.25,2.07,2,9.8,17,63,3.7,0,318,77,4.13,55,5.85,3,28:20:00,,7,66,8,50,15,116,21,,,,17,6,35.3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
